"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,144290464
2019,4,144290492
2019,4,144291182
2019,4,144291188
2019,4,144291189
2019,3,144291193
2019,4,144291203
2019,4,144291211
2019,4,144291214
2019,4,144291234
2019,4,144291235
2019,4,144291237
2019,4,144291238
2019,4,144291242
2019,4,144291257
2019,4,144291267
2019,4,144291272
2019,4,144291279
2019,4,144291298
2019,4,144291299
2019,4,144291304
2019,4,144291306
2019,4,144291309
2019,4,144291354
2019,4,144291357
2019,1,144291367
2019,1,144291366
2019,4,144291372
2019,4,144291380
2019,3,144291383
2019,4,144291387
2019,4,144291390
2019,4,144291397
2019,4,144291399
2019,4,144291415
2019,4,144291425
2019,4,144291434
2019,4,144291442
2019,3,144291469
2019,4,144291475
2019,4,144291477
2019,1,144291488
2019,4,144291489
2019,3,144291492
2019,4,144291499
2019,4,144291515
2019,3,144291518
2019,4,144291521
2019,3,144291523
2019,3,144291524
2019,3,144291532
2019,4,144291536
2019,3,144291537
2019,4,144291543
2019,4,144291550
2019,4,144291553
2019,4,144291571
2019,4,144291575
2019,3,144291582
2019,4,144291583
2019,4,144291591
2019,4,144291597
2019,4,144291606
2019,4,144291605
2019,4,144291626
2019,3,144291627
2019,4,144291637
2019,4,144291639
2019,3,144291642
2019,4,144291648
2019,4,144291657
2019,4,144291659
2019,4,144291662
2019,3,144291668
2019,4,144291676
2019,4,144291678
2019,3,144291679
2019,3,144291688
2019,4,144291697
2019,4,144291698
2019,4,144291699
2019,3,144291702
2019,4,144291707
2019,4,144291708
2019,4,144291714
2019,3,144291716
2019,3,144291718
2019,4,144291725
2019,4,144291724
2019,3,144291726
2019,4,144291730
2019,3,144291734
2019,4,144291737
2019,3,144291740
2019,4,144291744
2019,4,144291747
2019,4,144291746
2019,4,144291752
2019,3,144291757
2019,4,144291762
2019,4,144291767
2019,3,144291768
2019,1,144291776
2019,4,144291781
2019,4,144291785
2019,4,144291788
2019,3,144291821
2019,4,144291824
2019,4,144291832
2019,3,144291836
2019,3,144291837
2019,3,144291841
