"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,115127481,3
2018,115133185,4
2018,115127786,4
2018,115133669,5
2018,115128537,5
2018,115128564,4
2018,115135190,5
2018,115128856,4
2018,115129120,4
2018,111209594,4
2018,111214061,4
2018,111205071,4
2018,111214298,5
2018,111214350,4
2018,111209940,4
2018,111214463,4
2018,111214573,4
2018,111206159,2
2018,111211162,4
2018,111211352,4
2018,111206369,4
2018,115133138,5
2018,115127480,5
2018,115133168,4
2018,115133465,5
2018,115128358,4
2018,115134801,5
2018,115128593,4
2018,115128853,5
2018,115128953,4
2018,115135450,4
2018,115135548,5
2018,115129357,4
2018,115136685,5
2018,111214074,5
2018,111209626,5
2018,111209724,4
2018,111209853,4
2018,111205353,4
2018,111214461,5
2018,111209946,5
2018,111205381,5
2018,111214613,4
2018,111214683,4
2018,111214813,4
2018,111214927,4
2018,111215163,4
2018,111215160,4
2018,111215273,4
2018,111220718,4
2018,111215331,4
2018,111220772,5
2018,111220810,5
2018,111215442,5
2018,111225494,5
2018,111225493,5
2018,111225492,5
2018,111216146,6
2018,111216168,4
2018,111225711,5
2018,111225796,4
2018,111225839,6
2018,111225962,4
2018,111201902,5
2018,111202054,5
2018,111206731,5
2018,111211794,5
2018,111211862,5
2018,111212286,5
2018,111212324,5
2018,111207871,5
2018,111203420,5
2018,111207997,5
2018,111212724,4
2018,111212815,4
2018,111208262,6
2018,111213208,4
2018,111208560,5
2018,111204274,5
2018,111204325,5
2018,111208703,5
2018,111208987,4
2018,111208985,4
2018,111208984,4
2018,111208982,4
2018,111213576,5
2018,111209096,5
2018,111209216,5
2018,111213919,5
2018,111216247,5
2018,111221172,5
2018,111216279,4
2018,111216285,5
2018,111216302,5
2018,111225948,5
2018,111221302,5
2018,111225954,4
2018,111221400,4
2018,111221642,5
2018,111221641,5
2018,115134512,4
2018,115128603,5
2018,115128807,4
2018,115135221,4
2018,115129055,5
2018,115129056,5
2018,115129101,4
2018,115136043,4
2018,115129353,4
2018,115136194,5
2018,118503362,5
2018,118513473,4
2018,118513583,5
2018,118521338,5
2018,115127483,5
2018,115127526,5
2018,115127551,5
2018,115127842,4
2018,115133886,6
2018,115128567,5
2018,115128733,7
2018,111214215,5
2018,111214476,5
2018,111214859,5
2018,111215192,5
2018,111220655,6
2018,111220671,4
2018,111215962,4
2018,111221027,5
2018,111221028,5
2018,111216183,4
2018,111225785,4
2018,111225793,8
2018,111226014,4
2018,113406161,4
2018,113397931,5
2018,113397956,5
2018,113401929,4
2018,113401934,5
2018,113406218,4
2018,113402065,5
2018,113406332,4
2018,113406345,5
2018,113406383,4
2018,113402230,4
2018,113398428,4
2018,113398473,4
2018,113402322,4
2018,113402330,5
2018,117169076,4
2018,117176216,4
2018,117172981,4
2018,113385021,4
2018,113385199,4
2018,113385198,5
2018,113396752,6
2018,113395560,5
2018,113385487,5
2018,113385539,4
2018,113385693,5
2018,113401148,4
2018,113385706,5
2018,113385737,5
2018,113397545,5
2018,113385917,4
2018,113401588,4
2018,113397729,5
2018,113401719,4
2018,113397866,4
2018,113406192,4
2018,113402078,5
2018,113398251,4
2018,113398358,5
2018,111202036,4
2018,111206677,5
2018,111211707,4
2018,111211777,4
2018,111203138,5
2018,111203285,4
2018,111207826,4
2018,111203357,5
2018,111208135,5
2018,111208148,5
2018,111203779,4
2018,111208278,4
2018,111204077,4
2018,111213072,4
2018,111213246,4
2018,111213245,4
2018,111209089,5
2018,111213659,4
2018,111209230,5
2018,111209399,5
2018,111206582,4
2018,111201885,4
2018,111201915,5
2018,120214442,5
2018,120210712,4
2018,120210728,4
2018,120210769,5
2018,120214615,4
2018,120214793,4
2018,120214824,4
2018,120214846,5
2018,120214847,5
2018,113384896,3
2018,113384896,1
2018,113394895,5
2018,113394943,5
2018,113385029,4
2018,113395173,4
2018,113395359,4
2018,113385234,5
2018,113385255,4
2018,113396583,4
2018,113395449,5
2018,113396671,4
2018,113385359,4
2018,113385373,5
2018,113396760,4
2018,113396764,5
2018,113395606,4
2018,113395717,4
2018,113395738,5
2018,113385520,4
2018,113397018,5
2018,113397037,4
2018,113395965,4
2018,113385596,4
2018,113397094,4
2018,113385605,5
2018,113397141,4
2018,113385677,4
2018,113397349,4
2018,113397463,4
2018,113385896,5
2018,113385897,5
2018,113401491,5
2018,113385906,5
2018,113401497,5
2018,113397580,4
2018,113397589,4
2018,113401610,5
2018,113397680,5
2018,113397721,4
2018,113386102,4
2018,113386107,4
2018,113386121,5
2018,113401839,4
2018,113397939,5
2018,113397950,5
2018,113406185,4
2018,113401924,4
2018,113398071,4
2018,113398110,4
2018,113406274,4
2018,113406305,4
2018,113406305,3
2018,113402119,4
2018,113406339,5
2018,113398369,3
2018,113398447,5
2018,113402257,4
2018,113402272,5
2018,113402282,5
2018,113398474,4
2018,113406427,4
2018,113402302,5
2018,113402304,5
2018,113398509,4
2018,113398517,4
2018,113402331,5
2018,120214588,5
2018,120214594,5
2018,120214607,4
2018,111214075,4
2018,111214155,4
2018,111209705,5
2018,111214337,4
2018,111214462,5
2018,111210016,5
2018,111210076,5
2018,111210140,5
2018,111214704,4
2018,111214707,4
2018,111220574,4
2018,111215156,4
2018,111220583,4
2018,111220667,4
2018,111215933,4
2018,111220856,6
2018,111216043,5
2018,111221013,5
2018,111221015,5
2018,111221014,5
2018,111221041,5
2018,111216163,5
2018,111221058,4
2018,111225661,4
2018,111221095,4
2018,111216270,5
2018,111216269,5
2018,111225856,5
2018,111225906,3
2018,111225905,4
2018,117168572,4
2018,117172334,4
2018,117168736,5
2018,117172713,4
2018,120214611,5
2018,113112883,5
2018,113103415,5
2018,113112896,4
2018,113108774,4
2018,113112959,4
2018,113108888,4
2018,113108910,4
2018,113108954,4
2018,113109009,5
2018,113109444,5
2018,113109457,4
2018,113109636,4
2018,111206247,4
2018,111211356,4
2018,111201660,5
2018,111206432,5
2018,111201789,5
2018,111206508,4
2018,111211508,5
2018,111201883,4
2018,111201949,5
2018,111201995,4
2018,111211681,5
2018,111202046,5
2018,111202057,4
2018,111211709,5
2018,111211860,5
2018,111212283,4
2018,111203058,5
2018,111203416,5
2018,111203520,4
2018,111203783,5
2018,111212838,5
2018,111203811,5
2018,111213049,5
2018,111201610,4
2018,111211369,4
2018,111206420,5
2018,111201744,5
2018,111211543,4
2018,111202125,5
2018,111207005,4
2018,111202892,5
2018,111203170,5
2018,111212447,4
2018,111212463,5
2018,111212603,4
2018,111203487,4
2018,111203535,5
2018,111203557,4
2018,111203805,4
2018,111203805,1
2018,111203806,4
2018,111203841,4
2018,111213024,4
2018,111213022,4
2018,111213026,4
2018,111204021,4
2018,111213016,4
2018,111208390,4
2018,111204103,6
2018,111204103,1
2018,111213093,5
2018,111208461,5
2018,111208460,5
2018,111213128,5
2018,111204139,5
2018,111204231,4
2018,111213360,4
2018,111204391,5
2018,111204392,5
2018,111213581,5
2018,111209008,4
2018,111204620,5
2018,111204646,4
2018,111214360,5
2018,111214365,5
2018,111209573,4
2018,111209585,5
2018,111214044,5
2018,111209727,4
2018,111214218,4
2018,111205317,4
2018,111209948,5
2018,111205370,5
2018,111215281,4
2018,111215921,5
2018,111220723,5
2018,111220733,5
2018,111215396,4
2018,111220808,4
2018,111216058,4
2018,111216142,6
2018,111221026,6
2018,111221026,7
2018,111201272,5
2018,111211154,4
2018,111206165,4
2018,111201324,4
2018,111201325,4
2018,111211248,4
2018,111206252,5
2018,111211251,5
2018,111201379,5
2018,111201396,4
2018,111201717,5
2018,111201754,5
2018,111209661,4
2018,111214194,5
2018,111214224,5
2018,111205296,4
2018,111205302,5
2018,111214429,4
2018,111214491,5
2018,111214629,5
2018,111215471,5
2018,111214640,5
2018,111210129,4
2018,113093081,5
2018,113090109,4
2018,113098734,5
2018,113090164,5
2018,113090162,5
2018,113090246,5
2018,113093370,5
2018,113093395,4
2018,113099004,4
2018,113099017,4
2018,113094320,4
2018,113094586,5
2018,113094588,5
2018,113091036,5
2018,113099979,4
2018,113094640,4
2018,113100108,5
2018,113094850,4
2018,113101235,5
2018,113100338,5
2018,113095249,5
2018,113095342,5
2018,113095467,4
2018,113100574,4
2018,113095570,4
2018,113100641,5
2018,113095607,6
2018,113100668,5
2018,113100689,4
2018,113101511,5
2018,113101519,5
2018,113095791,4
2018,113095792,5
2018,113100813,5
2018,113095859,4
2018,113101617,4
2018,113101638,4
2018,113100878,5
2018,113101654,4
2018,113101744,4
2018,113101004,4
2018,113111183,5
2018,113106362,5
2018,113102001,4
2018,113102001,6
2018,113106412,2
2018,113106412,4
2018,113106412,8
2018,113111389,5
2018,113106651,5
2018,113106716,5
2018,113106722,5
2018,113106808,5
2018,113106828,4
2018,113106906,4
2018,113106970,4
2018,113111770,5
2018,113107187,5
2018,113107197,4
2018,113111791,5
2018,113107209,4
2018,113107298,5
2018,113107299,4
2018,113111908,4
2018,113107404,4
2018,113107441,4
2018,113107570,5
2018,113107772,5
2018,113107893,5
2018,113112394,5
2018,113112393,4
2018,113102941,5
2018,113102942,5
2018,113108132,5
2018,113112473,5
2018,113103013,5
2018,113108371,4
2018,113108640,5
2018,113093023,5
2018,113093178,4
2018,113098916,5
2018,113093427,5
2018,113093429,5
2018,113093478,5
2018,113099011,5
2018,113100297,4
2018,113095040,4
2018,113095394,5
2018,113101404,5
2018,113101403,5
2018,113095530,5
2018,113095602,4
2018,113101594,5
2018,113095947,4
2018,113101713,5
2018,113106325,4
2018,113102085,4
2018,113106807,5
2018,113111535,4
2018,113111716,4
2018,113111762,5
2018,113111796,6
2018,113111812,5
2018,113107291,5
2018,113111906,5
2018,113107610,5
2018,113112286,4
2018,113102851,4
2018,113102956,5
2018,113103094,4
2018,113112809,5
2018,113108680,4
2018,113103383,4
2018,113108959,5
2018,113109436,4
2018,113109438,5
2018,113093166,5
2018,113090212,5
2018,113093369,4
2018,113108763,5
2018,113093491,5
2018,113093533,5
2018,113093532,5
