"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2018,6,132893704
2018,6,132893705
2018,6,132889098
2018,9,123865999
2018,9,123859856
2018,9,123859886
2018,9,123866179
2018,9,123864905
2018,9,123865035
2018,6,123875579
2018,6,123870769
2018,9,123875779
2018,9,123870940
2018,6,123866860
2018,8,123866860
2018,9,123866918
2018,6,123876139
2018,9,123876211
2018,6,123876406
2018,4,123876425
2018,8,123876475
2018,6,123876493
2018,6,123876494
2018,6,123867402
2018,6,123867417
2018,9,123876592
2018,8,123876630
2018,9,123871659
2018,9,123867538
2018,9,123867544
2018,9,123871758
2018,6,123867595
2018,8,123867595
2018,6,123876818
2018,8,123876818
2018,6,123867647
2018,9,123867656
2018,9,123876890
2018,6,123871901
2018,9,123871943
2018,9,123867766
2018,3,123876999
2018,9,123877017
2018,5,123871978
2018,9,123872017
2018,9,123877069
2018,6,123877127
2018,6,123877126
2018,6,123877167
2018,8,123877167
2018,9,123872185
2018,6,123872239
2018,6,123872277
2018,9,123872304
2018,3,123872333
2018,6,123872333
2018,8,123872333
2018,9,123877391
2018,9,123877419
2018,9,123868110
2018,9,123877586
2018,1,123872559
2018,9,123872573
2018,3,123872581
2018,6,123872581
2018,6,123872618
2018,3,123868324
2018,3,123877820
2018,9,123877859
2018,9,123868390
2018,9,123868444
2018,6,123868458
2018,9,123878047
2018,9,123855080
2018,6,123858679
2018,1,123863233
2018,6,123858691
2018,6,123858700
2018,6,123855127
2018,6,123858728
2018,8,123858742
2018,6,123858750
2018,6,123858749
2018,6,123863294
2018,6,123855190
2018,6,123858805
2018,6,123858804
2018,6,123863365
2018,6,123863364
2018,6,123858823
2018,6,123863370
2018,6,123863385
2018,6,123863388
2018,6,123863389
2018,6,123863402
2018,6,123863403
2018,6,123855236
2018,6,123855235
2018,6,123863433
2018,6,123863434
2018,6,123863441
2018,8,123863441
2018,6,123863443
2018,8,123863443
2018,6,123858905
2018,6,123863503
2018,6,123858937
2018,6,123858953
2018,6,123855318
2018,6,123863549
2018,6,123855330
2018,6,123863556
2018,6,123863607
2018,6,123859036
2018,6,123859041
2018,6,123865384
2018,6,123863685
2018,6,123863686
2018,6,123859089
2018,6,123865418
2018,6,123863712
2018,6,123859100
2018,6,123863718
2018,6,123863719
2018,6,123863717
2018,6,123863751
2018,8,123863751
2018,6,123865444
2018,6,123863759
2018,3,123859148
2018,6,123859148
2018,6,123865461
2018,6,123863807
2018,6,123863813
2018,6,123865473
2018,6,123863819
2018,3,123863818
2018,6,123863818
2018,6,123865478
2018,8,123863817
2018,6,123865484
2018,6,123865485
2018,6,123863840
2018,7,123863840
2018,6,123859175
2018,6,123859199
2018,6,123863859
2018,6,123859223
2018,7,123859223
2018,6,123859224
2018,6,123863907
2018,6,123859319
2018,2,123865618
2018,9,123859382
2018,9,123864066
2018,6,123864075
2018,9,123865665
2018,9,123859444
2018,9,123864164
2018,9,123864165
2018,9,123864188
2018,9,123864208
2018,6,123864236
2018,9,123864342
2018,9,123865846
2018,6,123864436
2018,6,123864484
2018,6,123865921
2018,6,123859736
2018,9,123865941
2018,9,123864517
2018,6,123859799
2018,9,123865200
2018,6,123870406
2018,6,123870503
2018,6,123870509
2018,6,123866569
2018,9,123870688
2018,6,123870733
2018,8,123870733
2018,6,123870838
2018,9,123870875
2018,9,123871137
2018,9,123866992
2018,6,123871202
2018,6,123876248
2018,9,123871314
2018,9,123871374
2018,6,123871422
2018,6,123871438
2018,9,123876455
2018,9,123867324
2018,7,123876477
2018,9,123876499
2018,3,123871532
2018,6,123871532
2018,6,123867359
2018,6,123867372
2018,6,123876518
2018,6,123876520
2018,9,123871563
2018,9,123871667
2018,9,123871664
2018,9,123871685
2018,9,123871691
2018,8,123876685
2018,6,123867529
2018,6,123876701
2018,9,123871747
2018,6,123871752
2018,6,123871751
2018,9,123871782
2018,6,123867615
2018,6,123871806
2018,6,123871818
2018,6,123867640
2018,6,123876827
2018,9,123867655
2018,6,123871850
2018,9,123867668
2018,9,123876852
2018,6,123871876
2018,9,123876910
2018,6,123876928
2018,6,123871897
2018,9,123876937
2018,9,123867747
2018,6,123867794
2018,6,123871979
2018,9,123871989
2018,12,123877088
2018,9,123877094
2018,6,123872092
2018,8,123872092
2018,6,123872091
2018,8,123872091
2018,6,123872093
2018,8,123872093
2018,6,123872094
2018,8,123872094
2018,6,123872119
2018,8,123872119
2018,6,123867901
2018,6,123872133
2018,9,123877166
2018,9,123867923
2018,9,123877196
2018,9,123872193
2018,6,123872195
2018,6,123877242
2018,6,123877249
2018,9,123872253
2018,6,123872282
2018,8,123877332
2018,6,123877333
2018,8,123877342
2018,6,123877343
2018,8,123877343
2018,9,123868042
2018,9,123872312
2018,6,123872316
2018,8,123872324
2018,9,123877438
2018,9,123877461
2018,9,123872454
2018,9,123872496
2018,6,123877559
2018,6,123868174
2018,6,123868177
2018,6,123868178
2018,8,123877589
2018,6,123877596
2018,6,123877597
2018,8,123868214
2018,8,123872550
2018,9,123872563
2018,9,123868245
2018,9,123868252
2018,6,123877826
2018,9,123872761
2018,9,123877893
2018,6,123878029
2018,8,123864557
2018,3,123864570
2018,6,123864570
2018,8,123864570
2018,6,123864602
2018,6,123864604
2018,6,123866002
2018,9,123859846
2018,8,123859904
2018,9,123859923
2018,9,123864779
2018,6,123864799
2018,6,123866135
2018,6,123865029
2018,6,123865105
2018,9,123865214
2018,6,123866469
2018,9,123875406
2018,6,123870539
2018,9,123870543
2018,6,123870549
2018,9,123866531
2018,8,123866533
2018,9,123875516
2018,6,123875572
