"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2018,123368654,136841282
2018,123369254,136846371
2018,123369254,136846372
2018,123369254,136841918
2018,123376766,136841942
2018,117470616,131083215
2018,117470616,131083214
2018,117470626,131083222
2018,117481814,131083223
2018,117481866,131087958
2018,117481865,131087959
2018,117481865,131087958
2018,117481868,131087962
2018,117481879,131087972
2018,117470713,131087978
2018,117470713,131087977
2018,117470752,131088010
2018,117481919,131083360
2018,117481939,131088047
2018,117481945,131088058
2018,117470791,131083384
2018,117481944,131088057
2018,117481957,131088071
2018,117481959,131088073
2018,117481989,131088114
2018,117482019,131075990
2018,117482019,131088162
2018,117470885,131083459
2018,117482056,131088204
2018,117482064,131088213
2018,117482072,131088220
2018,117482087,131088236
2018,117482097,131083516
2018,117482103,131088248
2018,117470946,131083526
2018,117482117,131088263
2018,117470957,131083533
2018,117470956,131083532
2018,117470968,131083544
2018,117482142,131088305
2018,117477290,131083592
2018,117482177,131083599
2018,117482182,131088348
2018,117482201,131083609
2018,117482206,131088364
2018,117482206,131088367
2018,117482268,131088435
2018,117482287,131088448
2018,117482293,131088453
2018,117482305,131076034
2018,117482312,131083728
2018,117482313,131083729
2018,117482329,131088496
2018,117482333,131083787
2018,117482349,131083794
2018,117486231,131088548
2018,117482398,131088569
2018,117486286,131083900
2018,117482444,131088618
2018,117482444,131088619
2018,117486299,131088631
2018,117486302,131083911
2018,117486317,131088660
2018,117482503,131088680
2018,117486355,131088692
2018,117486355,131088693
2018,117486370,131083984
2018,117482548,131088730
2018,117482550,131088735
2018,120106795,133628969
2018,120106794,133632883
2018,120100364,133632998
2018,120103626,133632999
2018,120103626,133633000
2018,120106921,133633009
2018,120106919,133633008
2018,120106920,133633008
2018,120100386,133636626
2018,120100386,133636627
2018,120100387,133636628
2018,120106943,133633035
2018,120106943,133633034
2018,120106944,133633036
2018,120107225,133629546
2018,120104024,133629544
2018,120107224,133629545
2018,120107227,133637132
2018,120107228,133633324
2018,120107228,133637137
2018,120107232,133637142
2018,117481664,131087717
2018,117481693,131087746
2018,117481741,131087798
2018,117481754,131087812
2018,117470582,131083188
2018,117481795,131087861
2018,117481818,131087898
2018,117470669,131087936
2018,117470671,131087938
2018,117470669,131087935
2018,117470670,131087937
2018,117470715,131083310
2018,117481887,131083316
2018,117481887,131087987
2018,117481887,131087990
2018,117477252,131075979
2018,117481917,131088022
2018,117481917,131088021
2018,117481963,131088078
2018,117481969,131088091
2018,117470828,131075987
2018,117482002,131088137
2018,117470888,131088189
2018,117482057,131083472
2018,117470909,131083484
2018,117482073,131083491
2018,117482080,131088229
2018,117482096,131088242
2018,117470941,131088257
2018,117470978,131088292
2018,117482136,131083569
2018,117482138,131083574
2018,117482138,131083575
2018,117470999,131083585
2018,117482190,131088351
2018,117482190,131088350
2018,117482188,131088349
2018,117482188,131088347
2018,117482218,131088378
2018,117482230,131088388
2018,117482254,131088422
2018,117482254,131088420
2018,117482262,131088430
2018,117482281,131088445
2018,117471092,131083701
2018,117477304,131088466
2018,117477303,131088465
2018,117477303,131083720
2018,117482320,131088485
2018,117482345,131088514
2018,117482360,131088525
2018,117482361,131083818
2018,117482369,131088539
2018,117482382,131083845
2018,117482393,131083851
2018,117482407,131083860
2018,117482423,131083879
2018,117486263,131083880
2018,117486264,131083882
2018,117486291,131083904
2018,117482486,131088663
2018,117486336,131083954
2018,117486336,131083955
2018,117482547,131088731
2018,117483528,131089807
2018,117483550,131091173
2018,117483561,131089835
2018,117483575,131089846
2018,117483596,131089876
2018,117483608,131089892
2018,117483636,131089928
2018,117483665,131084916
2018,117483789,131090089
2018,117483812,131090110
2018,117483840,131090133
2018,117483840,131085057
2018,117483840,131090132
2018,117483856,131085066
2018,117483859,131085068
2018,117483910,131090204
2018,117483920,131090209
2018,117483921,131090210
2018,117483930,131085120
2018,117483944,131090238
2018,117483943,131090238
2018,117483954,131090250
2018,117483971,131090270
2018,117483988,131085169
2018,117483989,131090288
2018,117487511,131090293
2018,117484019,131090323
2018,117484050,131090358
2018,117484060,131090371
2018,117484083,131090404
2018,117484108,131090429
2018,117484108,131090428
2018,117484112,131090436
2018,117484113,131090438
2018,117484136,131090466
2018,117484158,131090494
2018,117484162,131090494
2018,117484156,131090495
2018,117484156,131090494
2018,117484164,131090494
2018,117487623,131090513
2018,117487623,131090514
2018,117484193,131090533
2018,117484219,131090557
2018,117484222,131090560
2018,117484221,131090559
2018,117484235,131090573
2018,117484235,131090574
2018,117484278,131085424
2018,117484293,131090630
2018,117484320,131090655
2018,117484321,131090656
2018,117484345,131090679
2018,117484362,131090700
2018,117484362,131090701
2018,117484392,131090730
2018,117484412,131090747
2018,117484419,131085572
2018,117484419,131085571
2018,117484441,131090786
2018,117484447,131090794
2018,117484461,131090806
2018,117484475,131090824
2018,117484497,131090845
2018,117484512,131090859
2018,117484509,131090859
2018,117484510,131090859
2018,117484511,131090859
2018,117484522,131090866
2018,117484530,131085656
2018,117487972,131085661
2018,117484566,131090912
2018,117484566,131090913
2018,117484574,131090923
2018,117484577,131085714
2018,117484592,131090937
2018,117484593,131090939
2018,117485241,131096604
2018,117485248,131101493
2018,117485248,131096612
2018,117488761,131101525
2018,117485267,131096638
2018,117488771,131101536
2018,117488849,131101597
2018,117488849,131101598
2018,117485398,131096800
2018,117485398,131096801
2018,117485412,131101636
2018,117485421,131096821
2018,117485421,131096823
2018,117485426,131096831
2018,117477548,131096833
2018,117485439,131096844
2018,117485439,131096845
2018,117485504,131096921
2018,117485523,131101719
2018,117485523,131101718
2018,117488999,131101740
2018,117485555,131096965
2018,117485555,131096964
2018,117485555,131096966
2018,117489031,131097002
2018,117485584,131097002
2018,117485591,131101774
2018,117485606,131097022
2018,117489043,131097029
2018,117489081,131101833
2018,117485710,131097127
2018,117485711,131097128
2018,117485716,131097137
2018,117485773,131097197
2018,117485776,131097205
2018,117485782,131097214
2018,117485784,131097216
2018,117485797,131101987
2018,117489256,131097254
2018,117477586,131091314
2018,117485871,131091315
2018,117485880,131097315
2018,117485923,131097350
2018,117485952,131102104
2018,117485952,131097381
2018,117485975,131097403
2018,117485998,131097434
2018,117485998,131097435
2018,117489426,131102191
2018,117489434,131097478
2018,117491210,131097648
2018,117491211,131097649
2018,117491210,131102305
2018,117491233,131097669
2018,117491297,131102406
2018,117491296,131102405
2018,117491345,131097796
2018,117491346,131097797
2018,117491344,131097795
2018,117491360,131102453
2018,117491359,131102452
2018,117489647,131102452
2018,117491361,131102454
2018,117489646,131102452
2018,117491398,131102487
2018,117477654,131091386
2018,117489688,131091387
2018,117477656,131091386
2018,117477655,131091386
2018,117491409,131097874
2018,117491432,131097900
2018,117491452,131102552
2018,117491451,131102551
2018,117489743,131102551
2018,117491468,131097932
2018,117491468,131097934
2018,117491472,131097951
2018,117491472,131102568
2018,117491510,131097985
2018,117491523,131102626
2018,117491531,131098019
2018,117491532,131098019
2018,117489840,131102649
2018,117491566,131098052
2018,117491595,131098080
2018,117491736,131098237
2018,117491755,131098260
2018,117491775,131098280
2018,117491775,131098279
2018,117491792,131098302
2018,117491792,131103153
2018,117491838,131098353
2018,117491839,131098353
2018,117491851,131098365
2018,117491858,131103250
2018,117491867,131098383
2018,117491881,131098396
2018,117491895,131098403
2018,117491919,131098431
2018,117477831,131103503
2018,117492031,131098559
2018,117477831,131103504
2018,117492033,131103505
2018,117492032,131103502
2018,117492080,131103576
2018,117490707,131103581
2018,117492139,131103671
2018,117492173,131098721
2018,117490860,131098741
2018,117492209,131098763
2018,117492217,131098773
2018,117492233,131103807
2018,117492234,131103807
2018,117491044,131103954
2018,117491044,131103953
2018,117492341,131098898
2018,117492362,131098921
2018,117492397,131098966
2018,117492395,131098964
2018,117492396,131098965
2018,117492416,131099000
2018,117477943,131099015
2018,117477941,131099015
2018,117477940,131099015
2018,117492431,131099015
2018,117492441,131099023
2018,117492444,131099026
2018,117492454,131104036
2018,117492459,131099043
2018,117492459,131099044
2018,117492462,131091712
2018,117492466,131099051
2018,117492466,131099052
2018,117496125,131104046
2018,117492480,131104056
2018,117492480,131104055
2018,117492496,131099088
2018,117492497,131099088
2018,117492498,131099090
2018,117492499,131099091
2018,117492505,131099097
2018,117492523,131099120
2018,117492521,131099118
2018,117496163,131099120
2018,117496162,131099119
2018,117477980,131104082
2018,117477980,131104083
2018,117492533,131099137
2018,117492533,131099138
2018,117492534,131099144
2018,117492538,131099145
2018,117492567,131099173
2018,117492568,131099173
2018,117492568,131099174
2018,117492571,131099179
2018,117483527,131089808
2018,117483529,131089809
2018,117483544,131089819
2018,117483559,131089832
2018,117483563,131089837
2018,117483564,131089836
2018,117483580,131089854
2018,117483580,131089853
2018,117487200,131089850
2018,117483578,131089851
2018,117483588,131084853
2018,117483602,131089882
2018,117483605,131089886
2018,117483613,131089902
2018,117483623,131084875
2018,117483623,131084876
2018,117483624,131089916
2018,117483637,131089926
2018,117483649,131089935
2018,117483652,131084903
2018,117487256,131084906
2018,117483661,131089946
2018,117483661,131089947
2018,117487270,131084919
2018,117483783,131090084
2018,117483817,131090114
2018,117483845,131090138
2018,117483850,131090144
2018,117483864,131090158
2018,117483855,131090151
2018,117483878,131090172
2018,117483879,131085085
2018,117483887,131090179
2018,117483886,131090178
2018,117483885,131090177
2018,117483911,131090205
2018,117483914,131090207
2018,117483918,131090207
2018,117483915,131090207
2018,117483919,131090207
2018,117483917,131090207
2018,117483959,131090254
2018,117483959,131090251
2018,117483974,131090273
2018,117483974,131090272
2018,117483998,131090296
2018,117483999,131090296
2018,117484038,131090343
2018,117484040,131090346
2018,117484053,131090364
2018,117484093,131090415
2018,117484097,131090413
2018,117484093,131090414
2018,117484096,131090413
2018,117484095,131090414
2018,117484093,131090413
2018,117484098,131090413
2018,117484124,131090450
2018,117484132,131090461
2018,117484131,131090457
2018,117484131,131090460
2018,117484131,131090458
2018,117484166,131090502
2018,117484169,131090503
2018,117484191,131090530
2018,117484208,131091222
2018,117484213,131090549
2018,117484209,131090549
2018,117484209,131090550
2018,117484212,131090549
2018,117484246,131090589
2018,117484256,131090599
2018,117484257,131090601
2018,117484309,131090645
2018,117484307,131090644
2018,117484308,131090643
2018,117484307,131090643
2018,117484314,131085455
2018,117484314,131090651
2018,117484330,131090664
2018,117487793,131090664
2018,117484337,131090673
2018,117484340,131085504
2018,117484340,131085505
2018,117487843,131085513
2018,117487844,131085513
2018,117484354,131090691
2018,117484366,131090705
2018,117484396,131090727
2018,117484396,131090731
2018,117484422,131090760
2018,117484438,131090776
2018,117484438,131090778
2018,117484448,131090795
2018,117484466,131090814
2018,117484466,131090813
2018,117484466,131090812
2018,117484483,131090835
2018,117487948,131085637
2018,117484503,131090851
2018,117487957,131085646
2018,117484521,131090869
2018,117484531,131090876
2018,117484546,131090896
2018,117484546,131090897
2018,117484565,131090911
2018,117477505,131090915
2018,117484591,131090938
2018,117485230,131096591
2018,117485236,131096598
2018,117485236,131096597
2018,117488718,131101485
2018,117485259,131096631
2018,117488762,131101527
2018,117488769,131101534
2018,117485271,131096642
2018,117488784,131101545
2018,117488794,131101553
2018,117488786,131101547
2018,117485334,131096719
2018,117477543,131096723
2018,117485367,131096752
2018,117485371,131096761
2018,117485373,131096765
2018,117485373,131096763
2018,117485388,131096781
2018,117485387,131096781
2018,117485416,131096817
2018,117485416,131096818
2018,117485425,131096828
2018,117488898,131101649
2018,117485425,131101649
2018,117488898,131096828
2018,117488907,131101660
2018,117488910,131096839
2018,117485441,131101668
2018,117485441,131101667
2018,117488942,131101697
2018,117485478,131096891
2018,117485495,131096910
2018,117485505,131096918
2018,117485507,131096918
2018,117485509,131096919
