"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,141067799
2019,21,141065918
2019,21,140191619
2019,21,141065917
2019,21,140188387
2019,21,140188398
2019,21,140188420
2019,21,141066020
2019,21,140188434
2019,21,140174448
2019,21,140191775
2019,21,140174456
2019,21,141068055
2019,21,140191800
2019,21,140188498
2019,21,141081034
2019,21,140174495
2019,21,141068098
2019,21,141081050
2019,21,140174507
2019,21,141068103
2019,21,140191861
2019,21,140174526
2019,21,140174531
2019,21,141068104
2019,21,140188564
2019,21,141081053
2019,21,141068109
2019,21,140174573
2019,21,140174572
2019,21,140188580
2019,21,141068111
2019,21,141081059
2019,21,140191951
2019,21,141081071
2019,21,141066149
2019,21,140174624
2019,21,140174625
2019,21,140188611
2019,21,140191982
2019,21,141081232
2019,21,140191999
2019,21,141081336
2019,21,141086199
2019,21,140188649
2019,21,140192020
2019,21,140192022
2019,21,140192079
2019,21,140188732
2019,21,140188736
2019,21,140188737
2019,21,140192094
2019,21,140192107
2019,21,140188789
2019,21,140188822
2019,21,140188875
2019,21,141086299
2019,21,140174871
2019,21,140188929
2019,21,140188947
2019,21,141086384
2019,21,141081581
2019,21,140192346
2019,21,140174895
2019,21,141068706
2019,21,141068705
2019,21,140189051
2019,21,140189052
2019,21,140192441
2019,21,140189072
2019,21,141068715
2019,21,140189079
2019,21,140174949
2019,21,140174950
2019,21,140192483
2019,21,140189095
2019,21,140189096
2019,21,141086449
2019,21,140192505
2019,21,140192595
2019,21,140189150
2019,21,141081677
2019,21,141068837
2019,21,140189218
2019,21,140189242
2019,21,140175029
2019,21,140175028
2019,21,140175030
2019,21,141068851
2019,21,141068853
2019,21,140189279
2019,21,140192751
2019,21,141081708
2019,21,140175113
2019,21,140192775
2019,21,140175123
2019,21,140175151
2019,21,140192873
2019,21,140189434
2019,21,140192907
2019,21,140192915
2019,21,140175295
2019,21,140175340
2019,21,140193017
2019,21,140193020
2019,21,140193016
2019,21,140193028
2019,21,140175379
2019,21,140189544
2019,21,140193091
2019,21,140175443
2019,21,140193095
2019,21,140175452
2019,21,140193116
2019,21,140189553
