"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
181802016,18180,2016,"TN0020200","TN0020200","","N","N",,"I","WARTRACE","WARTRACE PD","Wartrace","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",661,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,1,2,0,0,0,0,0,01-JUL-96,01-JAN-01,01-JUL-04,01-FEB-13,01-AUG-15,01-APR-13,"N","BEDFORD","Non-MSA","Y","Y","Y"
181822016,18182,2016,"TN0030000","TN0030000","","N","N",,"I","BENTON","BENTON CO SO CAMDEN","Benton","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",11942,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",20,22,42,0,18,18,0,0,01-JUL-96,01-MAR-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BENTON","Non-MSA","Y","Y","Y"
181832016,18183,2016,"TN0030100","TN0030100","","N","N",,"I","CAMDEN","CAMDEN PD","Camden","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",3574,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,1,12,2,3,5,0,0,01-JUL-96,01-JUN-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BENTON","Non-MSA","Y","Y","Y"
181842016,18184,2016,"TN0030200","TN0030200","","N","N",,"I","BIG SANDY","BIG SANDY PD","Big Sandy","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",540,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JUL-96,01-SEP-00,01-JUL-04,01-JAN-13,01-JUN-15,01-MAY-13,"N","BENTON","Non-MSA","Y","Y","Y"
181852016,18185,2016,"TN0030300","TN0030300","","N","N",,"I","SPR: NATHAN BEDFORD FORR","PARK RANGERS NATHAN BEDFORD FORREST","State Park Rangers:","Nathan Bedford Forrest","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other State Agency",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JUL-96,01-JUL-01,01-APR-09,01-JUN-13,01-JUL-15,01-JUN-13,"N","BENTON","Non-MSA","Y","Y","Y"
181862016,18186,2016,"TN0040000","TN0040000","","N","N",,"I","BLEDSOE","BLEDSOE CO SO PIKEVILLE","Bledsoe","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",13218,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",13,17,30,2,8,10,0,0,01-JUL-96,01-JAN-98,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLEDSOE","Non-MSA","Y","Y","Y"
181872016,18187,2016,"TN0040100","TN0040100","","N","N",,"I","PIKEVILLE","PIKEVILLE PD","Pikeville","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",1642,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUL-96,01-AUG-00,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLEDSOE","Non-MSA","Y","Y","Y"
181882016,18188,2016,"TN0040200","TN0040200","","N","N",,"I","SPR: FALL CREEK FALLS","ST PARK RNGRS FALL CREEK FALLS ST PRK PIKEVILLE","State Park Rangers:","Fall Creek Falls","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other State Agency",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",8,0,8,1,0,1,0,0,01-JUL-96,01-OCT-00,01-JUL-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLEDSOE","Non-MSA","Y","Y","Y"
181892016,18189,2016,"TN0050000","TN0050000","","N","N",,"I","BLOUNT","BLOUNT CO SO MARYVILLE","Blount","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",89461,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",138,78,216,14,51,65,0,0,01-JUL-96,01-JAN-98,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLOUNT","Knoxville, TN","Y","Y","Y"
181902016,18190,2016,"TN0050100","TN0050100","","N","N",,"I","ALCOA","ALCOA PD","Alcoa","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",9503,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",39,2,41,2,6,8,0,0,01-JUL-96,01-JAN-98,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLOUNT","Knoxville, TN","Y","Y","Y"
