"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,136911540
2019,21,136906645
2019,21,136906650
2019,21,136902709
2019,21,136902708
2019,21,136906666
2019,21,136902744
2019,21,136902754
2019,21,136902753
2019,21,136906686
2019,21,136911674
2019,21,136906696
2019,21,136902780
2019,21,136911842
2019,21,136911840
2019,21,136902957
2019,21,136906840
2019,21,136911870
2019,21,136906852
2019,21,136906851
2019,21,136902995
2019,21,136911905
2019,21,136911904
2019,21,136911929
2019,21,136911930
2019,21,136906883
2019,21,136906884
2019,21,136903042
2019,21,136906912
2019,21,136903073
2019,21,136911991
2019,21,136911990
2019,21,136903089
2019,21,136903088
2019,21,136907007
2019,21,136903180
2019,21,136903206
2019,21,136912120
2019,21,136903284
2019,21,136907092
2019,21,136912175
2019,21,136907106
2019,21,136912191
2019,21,136903313
2019,21,136912195
2019,21,136903317
2019,21,136903359
2019,21,136903384
2019,21,136907158
2019,21,136903418
2019,21,136907167
2019,21,136903471
2019,21,136903491
2019,21,136912374
2019,21,136912372
2019,21,136907217
2019,21,136912381
2019,21,136907223
2019,21,136907231
2019,21,136903524
2019,21,136912410
2019,21,136903553
2019,21,136912448
2019,21,136903583
2019,21,136903595
2019,21,136912470
2019,21,136912769
2019,21,136907392
2019,21,136907393
2019,21,136907978
2019,21,136913402
2019,21,136908004
2019,21,136908038
2019,21,136913527
2019,21,136913604
2019,21,136913627
2019,21,136913644
2019,21,136904558
2019,21,136913660
2019,21,136908083
2019,21,136913736
2019,21,136913748
2019,21,136904608
2019,21,136913758
2019,21,136908106
2019,21,136913779
2019,21,136913787
2019,21,136908121
2019,21,136913795
2019,21,136913799
2019,21,136908132
2019,21,136913821
2019,21,136904651
2019,21,136904656
2019,21,136913842
2019,21,136904672
2019,21,136904680
2019,21,136908152
2019,21,136908153
2019,21,136908166
2019,21,136913907
2019,21,136913916
2019,21,136913931
2019,21,136913936
2019,21,136913938
2019,21,136908218
2019,21,136908232
2019,21,136913979
2019,21,136908264
2019,21,136908270
2019,21,136904823
2019,21,136914047
2019,21,136914048
2019,21,136914066
2019,21,136904856
2019,21,136914139
2019,21,136908376
2019,21,136914160
2019,21,136908387
2019,21,136904968
2019,21,136904975
2019,21,136914185
2019,21,136904990
2019,21,136904991
2019,21,136914207
2019,21,136905008
2019,21,136908425
2019,21,136908428
2019,21,136914258
2019,21,136908438
2019,21,136908448
2019,21,136914298
2019,21,136905090
2019,21,136905088
2019,21,136908472
2019,21,136905113
2019,21,136908497
2019,21,136905178
2019,21,136908507
2019,21,136908509
2019,21,136914451
2019,21,136914455
2019,21,136914486
2019,21,136914506
2019,21,136905258
2019,21,136908558
2019,21,136908576
2019,21,136908590
2019,21,136905315
2019,21,136905317
2019,21,136908598
2019,21,136914583
2019,21,136908603
2019,21,136914591
2019,21,136914595
2019,21,136908620
2019,21,136908621
2019,21,136908642
2019,21,136914655
2019,21,136905397
2019,21,136908714
2019,21,136914759
2019,21,136905453
2019,21,136914792
2019,21,136914799
2019,21,136908741
2019,21,136914812
2019,21,136905482
2019,21,136905505
2019,21,136914834
2019,21,136908772
2019,21,136908777
2019,21,136905533
2019,21,136905534
2019,21,136914890
2019,21,136908820
2019,21,136914915
2019,21,136914917
2019,21,136908829
2019,21,136908830
2019,21,136914930
2019,21,136914947
2019,21,136914966
2019,21,136914971
2019,21,136914976
2019,21,136905646
2019,21,136908871
2019,21,136905678
2019,21,136915022
2019,21,136915023
2019,21,136915024
2019,21,136915039
2019,21,136915047
2019,21,136915050
2019,21,136915067
2019,21,136915069
2019,21,136908929
2019,21,136905787
2019,21,136908970
2019,21,136915173
2019,21,136915204
2019,21,136905841
2019,21,136915247
2019,21,136899998
2019,21,136900004
2019,21,136901365
2019,21,136900015
2019,21,136895544
2019,21,136895612
2019,21,136895734
2019,21,136895735
2019,21,136900207
2019,21,136900206
2019,21,136901544
2019,21,136901586
2019,21,136900301
2019,21,136895822
2019,21,136895820
2019,21,136901622
2019,21,136900359
2019,21,136900367
2019,21,136901667
2019,21,136900384
2019,21,136900403
2019,21,136895905
2019,21,136901732
2019,21,136895921
2019,21,136901753
2019,21,136895973
2019,21,136901803
2019,21,136901831
2019,21,136901879
2019,21,136901929
2019,21,136896096
2019,21,136896097
2019,21,136900697
2019,21,136900698
2019,21,136900712
2019,21,136900726
2019,21,136900738
2019,21,136906182
2019,21,136902108
2019,21,136906226
2019,21,136906240
2019,21,136906239
2019,21,136902165
2019,21,136902166
2019,21,136902175
2019,21,136900925
2019,21,136900961
2019,21,136901017
2019,21,136901036
2019,21,136901056
2019,21,136911232
2019,21,136911242
2019,21,136911245
2019,21,136906474
2019,21,136911324
2019,21,136911323
2019,21,136911345
2019,21,136902514
2019,21,136906533
2019,21,136902578
2019,21,136902580
2019,21,136911476
2019,21,136902597
2019,21,136906596
2019,21,136902679
2019,21,136902859
2019,21,136906765
2019,21,136902892
2019,21,136902900
2019,21,136902918
2019,21,136902919
2019,21,136902956
2019,21,136906853
2019,21,136902990
2019,21,136911907
2019,21,136911924
2019,21,136911923
2019,21,136911938
2019,21,136911956
2019,21,136906917
2019,21,136906927
2019,21,136903095
2019,21,136906958
2019,21,136906966
2019,21,136912055
2019,21,136907018
2019,21,136912078
2019,21,136903214
2019,21,136907038
2019,21,136903250
2019,21,136912123
2019,21,136907066
2019,21,136907079
2019,21,136912152
2019,21,136903275
2019,21,136907089
2019,21,136907095
2019,21,136903345
2019,21,136912230
2019,21,136912261
2019,21,136903401
2019,21,136903400
2019,21,136912271
2019,21,136912269
2019,21,136903406
2019,21,136907164
2019,21,136903431
2019,21,136903439
2019,21,136903469
2019,21,136907242
2019,21,136907252
2019,21,136907259
2019,21,136912437
2019,21,136907273
2019,21,136907272
2019,21,136907277
2019,21,136903653
2019,21,136903675
2019,21,136912556
2019,21,136907378
2019,21,136912738
2019,21,136903916
2019,21,136912745
2019,21,136912749
2019,21,136903919
2019,21,136912780
2019,21,136903953
2019,21,136912792
2019,21,136903962
2019,21,136903969
2019,21,136903970
2019,21,136912922
2019,21,136912925
2019,21,136912926
2019,21,136912927
2019,21,136912933
2019,21,136907576
2019,21,136912952
2019,21,136912954
2019,21,136912953
2019,21,136912959
2019,21,136904092
2019,21,136904100
2019,21,136912969
2019,21,136912971
2019,21,136907610
2019,21,136912983
2019,21,136904118
2019,21,136907626
2019,21,136912995
2019,21,136904122
2019,21,136907631
2019,21,136912997
2019,21,136913003
2019,21,136913006
2019,21,136913007
2019,21,136913009
2019,21,136913014
2019,21,136913017
2019,21,136913020
2019,21,136904147
2019,21,136913023
2019,21,136913030
2019,21,136907646
2019,21,136907651
2019,21,136907657
2019,21,136904185
2019,21,136913061
2019,21,136904198
2019,21,136913078
2019,21,136907687
2019,21,136913088
2019,21,136913098
2019,21,136913120
2019,21,136913129
2019,21,136913137
2019,21,136907752
2019,21,136913145
2019,21,136913152
2019,21,136904253
2019,21,136907784
2019,21,136913160
2019,21,136907793
2019,21,136913162
2019,21,136913163
2019,21,136913173
2019,21,136913188
2019,21,136913197
2019,21,136913211
2019,21,136913223
2019,21,136913257
2019,21,136913263
2019,21,136904348
2019,21,136913271
2019,21,136913273
2019,21,136904355
2019,21,136913280
2019,21,136913282
2019,21,136913284
2019,21,136907919
2019,21,136913293
2019,21,136913297
2019,21,136913305
2019,21,136913316
2019,21,136907937
2019,21,136913328
2019,21,136907940
2019,21,136907939
2019,21,136904414
2019,21,136913380
2019,21,136904418
2019,21,136913401
2019,21,136904434
2019,21,136913461
2019,21,136913473
2019,21,136904489
2019,21,136904499
2019,21,136908033
2019,21,136913511
2019,21,136913524
2019,21,136904515
2019,21,136913547
2019,21,136904548
2019,21,136913630
2019,21,136913647
2019,21,136913655
2019,21,136913669
2019,21,136913679
2019,21,136913681
2019,21,136913692
2019,21,136913695
2019,21,136904579
2019,21,136904584
2019,21,136913722
2019,21,136904610
2019,21,136908103
2019,21,136904615
2019,21,136913766
2019,21,136913783
2019,21,136913785
2019,21,136904633
2019,21,136913794
2019,21,136904648
2019,21,136908136
2019,21,136904653
2019,21,136904659
2019,21,136913847
2019,21,136913857
2019,21,136913862
2019,21,136904687
2019,21,136904697
2019,21,136904704
2019,21,136908171
2019,21,136913895
2019,21,136908184
2019,21,136904739
2019,21,136913925
2019,21,136908206
2019,21,136908217
2019,21,136913967
2019,21,136904774
2019,21,136908243
2019,21,136914002
2019,21,136908261
2019,21,136908263
2019,21,136914017
2019,21,136908295
2019,21,136914084
2019,21,136904985
2019,21,136908414
2019,21,136914228
2019,21,136914235
2019,21,136905012
2019,21,136914246
2019,21,136914255
2019,21,136914324
2019,21,136914343
2019,21,136905116
2019,21,136914392
2019,21,136905140
2019,21,136914407
2019,21,136914412
2019,21,136905177
2019,21,136905214
2019,21,136914481
2019,21,136914480
2019,21,136905244
2019,21,136905246
2019,21,136914532
2019,21,136914531
2019,21,136905283
2019,21,136908569
2019,21,136905305
2019,21,136905316
2019,21,136908600
2019,21,136905325
2019,21,136914632
2019,21,136905337
2019,21,136908647
2019,21,136908649
2019,21,136908654
2019,21,136914661
2019,21,136905343
2019,21,136908680
2019,21,136914673
2019,21,136914677
2019,21,136914711
2019,21,136914721
2019,21,136905407
2019,21,136914738
2019,21,136914757
2019,21,136905436
2019,21,136905442
2019,21,136908730
2019,21,136905471
2019,21,136905486
2019,21,136905485
2019,21,136905494
2019,21,136908762
2019,21,136914828
2019,21,136914849
2019,21,136908783
2019,21,136914862
2019,21,136914872
2019,21,136908804
2019,21,136908818
2019,21,136914910
2019,21,136914919
2019,21,136914918
2019,21,136914934
2019,21,136914942
2019,21,136905634
2019,21,136905633
2019,21,136908891
2019,21,136905697
2019,21,136915057
2019,21,136908921
2019,21,136908920
2019,21,136915135
2019,21,136908960
2019,21,136905779
2019,21,136908968
2019,21,136905797
2019,21,136915249
2019,21,136905850
2019,21,142481382
2019,21,142471438
2019,21,142471416
2019,21,142471430
2019,21,142471439
2019,21,142481620
2019,21,142481495
2019,21,142481553
2019,21,142481600
2019,21,142471586
2019,21,142471547
2019,21,142481640
2019,21,142481650
2019,21,142481666
2019,21,142471583
2019,21,142481700
2019,21,142471594
2019,21,142471597
2019,21,142471599
2019,21,142481825
2019,21,142481721
2019,21,142481762
2019,21,142471646
2019,21,142481826
2019,21,142476628
2019,21,142481832
2019,21,142471686
2019,21,142471687
2019,21,142476784
2019,21,142471752
2019,21,142476764
2019,21,142476765
2019,21,142476766
2019,21,142471841
2019,21,142471827
2019,21,142471842
2019,21,142476966
2019,21,142471869
2019,21,142476839
2019,21,142477222
2019,21,142476994
2019,21,142482443
2019,21,142485032
2019,21,142482482
2019,21,142484994
2019,21,142474939
2019,21,142477014
2019,21,142482139
2019,21,142482141
2019,21,142472013
2019,21,142482158
2019,21,142472028
2019,21,142472029
2019,21,142472039
2019,21,142472038
2019,21,142482168
2019,21,142482167
2019,21,142474947
2019,21,142482921
2019,21,142477273
2019,21,142474953
2019,21,142474957
2019,21,142474965
2019,21,142474968
2019,21,142474969
2019,21,142474970
2019,21,142485053
2019,21,142485057
2019,21,142485064
2019,21,142485075
2019,21,142485078
2019,21,142479944
2019,21,142485083
2019,21,142485084
2019,21,142474996
2019,21,142485087
2019,21,142475026
2019,21,139283397
2019,21,139283396
2019,21,139283398
2019,21,139262338
2019,21,139262336
2019,21,139262337
2019,21,139283426
2019,21,139283427
2019,21,139283440
2019,21,139283526
2019,21,139283527
2019,21,139283546
2019,21,139261102
2019,21,139283600
2019,21,139261118
2019,21,139262389
2019,21,139283642
2019,21,139283648
2019,21,139283652
2019,21,139283651
2019,21,139261146
2019,21,139283693
2019,21,139261154
2019,21,139283713
2019,21,139283732
2019,21,139283733
2019,21,139283734
2019,21,139283741
2019,21,139283747
2019,21,139283749
2019,21,139283748
2019,21,139283775
2019,21,139283787
2019,21,139262411
2019,21,139283853
2019,21,139283876
2019,21,139286229
2019,21,139283892
2019,21,139283900
2019,21,139283906
2019,21,139284232
2019,21,139284231
2019,21,139286639
2019,21,139286641
2019,21,139286648
2019,21,139286652
2019,21,139286665
2019,21,139262653
2019,21,139286678
2019,21,139262666
2019,21,139284820
2019,21,139284822
2019,21,139284853
2019,21,139284867
2019,21,139286802
2019,21,139286800
2019,21,139284982
2019,21,139285827
2019,21,139285837
2019,21,139285838
2019,21,139285856
2019,21,139263020
2019,21,139285869
2019,21,139285868
2019,21,139287615
2019,21,139287614
2019,21,139285882
2019,22,143281877
2019,21,143281869
2019,21,143286808
2019,21,143281868
2019,21,143286815
2019,21,143281878
2019,21,143281882
2019,21,143281883
2019,21,143275579
2019,21,143281886
2019,21,143286822
2019,21,143286825
2019,21,143286826
2019,21,143281894
2019,21,143281893
2019,21,143286837
2019,21,143281903
2019,21,143281906
2019,21,143281908
2019,21,143281914
2019,21,143275589
2019,21,143275590
2019,21,143275594
2019,21,143286846
2019,21,143286855
2019,21,143286854
2019,21,143281939
2019,21,143275611
2019,21,143281962
2019,21,143281963
2019,21,143281964
2019,21,143275623
2019,21,143281973
2019,21,143286873
2019,21,143275627
2019,21,143281983
2019,21,143275635
2019,21,143281992
2019,21,143282032
2019,21,143282033
2019,21,143275658
2019,21,143282040
2019,21,143282010
2019,21,143275646
2019,21,143275663
2019,21,143286926
2019,21,143282051
2019,21,143282054
2019,21,143282065
2019,21,143282070
2019,21,143286949
2019,21,143286951
2019,21,143282066
2019,21,143282067
2019,21,143286950
2019,21,143282072
2019,21,143286953
2019,21,143286954
2019,21,143282074
2019,21,143286955
2019,21,143282076
2019,21,143286957
2019,21,143282079
2019,21,143286958
2019,21,143275691
2019,21,143275695
2019,21,143286975
2019,21,143282110
2019,21,143282114
2019,21,143286990
2019,21,143282118
2019,21,143275707
2019,21,143282132
2019,21,143282131
2019,21,143275715
2019,21,143282138
2019,21,143287022
2019,21,143275723
2019,21,143282146
2019,21,143275727
2019,21,143275726
2019,21,143287039
2019,21,143287041
2019,21,143275734
2019,21,143282153
2019,21,143282154
2019,21,143275741
2019,21,143275742
2019,21,143275744
2019,21,143287059
2019,21,143287066
2019,21,143275750
2019,21,143275748
2019,21,143287072
2019,21,143275754
2019,21,143275755
2019,21,143287074
2019,21,143282189
2019,21,143287086
2019,21,143287087
2019,21,143287088
2019,21,143287091
2019,21,143287093
2019,21,143275777
2019,21,143275779
2019,21,143275783
2019,21,143282232
2019,21,143275788
2019,21,143275790
2019,21,143275789
2019,21,143282235
2019,21,143282237
2019,21,143282245
2019,21,143282263
2019,21,143282265
2019,21,143282264
2019,21,143282269
2019,21,143282270
2019,21,143282271
2019,21,143287146
2019,21,143282275
2019,21,143287147
2019,21,143282279
2019,21,143287153
2019,21,143287154
2019,21,143287159
2019,21,143282280
2019,21,143287185
2019,21,143287187
2019,21,143287190
2019,21,143287195
2019,21,143275831
2019,21,143275834
2019,21,143287206
2019,21,143287207
2019,21,143275837
2019,21,143275836
2019,21,143287210
2019,21,143287211
2019,21,143282324
2019,21,143287215
2019,21,143287214
2019,21,143282337
2019,21,143287435
2019,21,143282338
2019,21,143282341
2019,21,143282340
2019,21,143287226
2019,21,143287225
2019,21,143275856
2019,21,143282349
2019,21,143282347
2019,21,143282348
2019,21,143282351
2019,21,143282352
2019,21,143275859
2019,21,143282356
2019,21,143282357
2019,21,143287239
2019,21,143275861
2019,21,143287242
2019,21,143287243
2019,21,143282359
2019,21,143287244
2019,21,143275862
2019,21,143275863
2019,21,143275866
2019,21,143275865
2019,21,143282368
2019,21,143287252
2019,21,143287251
2019,21,143287253
2019,21,143287254
2019,21,143282370
2019,21,143275870
2019,21,143282376
2019,21,143275872
2019,21,143275875
2019,21,143275876
2019,21,143275877
2019,21,143282379
2019,21,143287269
2019,21,143275881
2019,21,143287272
2019,21,143282391
2019,21,143282392
2019,21,143275885
2019,21,143275891
2019,21,143287281
2019,21,143275894
2019,21,143282408
2019,21,143282409
2019,21,143287290
2019,21,143282413
2019,21,143275896
2019,21,143287294
2019,21,143287295
2019,21,143287310
2019,21,143287313
2019,21,143287312
2019,21,143287316
2019,21,143275904
2019,21,143275909
2019,21,143287328
2019,21,143275930
2019,21,143282453
2019,21,143282454
2019,21,143287339
2019,21,143275936
2019,21,143287347
2019,21,143287346
2019,21,143287349
2019,21,143287330
2019,21,143282464
2019,21,143282463
2019,21,143287355
2019,21,143287353
2019,21,143275938
2019,21,143275942
2019,21,143275944
2019,21,143275943
2019,21,143275946
2019,21,143275945
2019,21,143275947
2019,21,143275948
2019,21,143275950
2019,21,143275951
2019,21,143287374
2019,21,143287375
2019,21,143282497
2019,21,143287383
2019,21,143282504
2019,21,143282503
2019,21,143287387
2019,21,143275959
