"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,3,144300781
2019,4,144300786
2019,4,144300785
2019,4,144300792
2019,4,144300797
2019,4,144300795
2019,4,144300794
2019,4,144300796
2019,4,144300802
2019,4,144300804
2019,4,144300821
2019,4,144300780
2019,4,144300779
2019,4,144300828
2019,4,144300831
2019,4,144300829
2019,4,144300838
2019,4,144300842
2019,4,144300843
2019,4,144300849
2019,4,144300848
2019,4,144300856
2019,4,144300867
2019,4,144300866
2019,4,144300864
2019,4,144300880
2019,4,144300882
2019,4,144300884
2019,4,144300886
2019,4,144300889
2019,4,144300892
2019,4,144300891
2019,4,144300890
2019,4,144300899
2019,4,144300910
2019,4,144300913
2019,3,144300917
2019,4,144300925
2019,4,144300929
2019,4,144300932
2019,4,144300938
2019,4,144300939
2019,4,144300940
2019,1,144300947
2019,4,144300948
2019,1,144300951
2019,4,144300952
2019,1,144300954
2019,4,144300955
2019,1,144300957
2019,4,144300959
2019,4,144300961
2019,4,144300963
2019,4,144300972
2019,4,144300977
2019,4,144300979
2019,4,144300985
2019,4,144300986
2019,4,144300987
2019,2,144300995
2019,4,144300996
2019,4,144300997
2019,4,144300999
2019,4,144300998
2019,4,144301003
2019,4,144301006
2019,1,144301010
2019,3,144301020
2019,3,144301021
2019,4,144301024
2019,4,144301022
2019,4,144301030
2019,4,144301032
2019,4,144301041
2019,4,144301050
2019,4,144301051
2019,4,144301054
2019,4,144301056
2019,4,144301057
2019,4,144301059
2019,4,144301066
2019,4,144301075
2019,4,144301082
2019,4,144301095
2019,4,144301102
2019,3,144301101
2019,4,144301110
2019,4,144301113
2019,4,144301116
2019,4,144301119
2019,4,144301121
2019,4,144301122
2019,4,144301125
2019,4,144301129
2019,4,144301127
2019,1,144301135
2019,4,144301141
2019,4,144301139
2019,4,144301152
2019,4,144301157
2019,4,144301154
2019,4,144301161
2019,2,144301162
2019,4,144301179
2019,4,144301188
2019,4,144301190
2019,4,144301194
2019,1,144301202
2019,4,144301203
2019,4,144301205
2019,4,144301208
2019,4,144301215
2019,4,144301216
2019,3,144301225
2019,3,144301226
2019,4,144301229
2019,4,144301230
2019,4,144301242
2019,4,144301257
2019,4,144301260
2019,4,144301275
2019,4,144301306
2019,4,144301309
2019,4,144301311
2019,4,144301312
2019,4,144301313
2019,4,144301314
2019,4,144301315
2019,4,144301319
2019,4,144301320
2019,4,144301323
2019,4,144301324
2019,4,144301327
2019,4,144301330
2019,4,144301331
2019,3,144301336
2019,3,144301337
2019,4,144301343
2019,4,144301344
2019,4,144301353
2019,4,144301352
2019,4,144301356
2019,4,144301363
2019,4,144301360
2019,4,144301365
2019,4,144301383
2019,4,144301396
2019,4,144301398
2019,3,144301400
2019,3,144301401
2019,4,144301405
2019,4,144301407
2019,3,144301413
2019,4,144301414
2019,4,144301416
2019,4,144301418
2019,4,144301420
2019,4,144301423
2019,4,144301427
2019,4,144301429
2019,4,144301438
2019,4,144301443
2019,4,144301448
2019,4,144301449
2019,4,144301451
2019,4,144301450
2019,4,144301452
2019,1,144301453
2019,3,144301453
2019,4,144301456
2019,4,144301455
2019,4,144301462
2019,4,144301466
2019,4,144301469
2019,1,144301470
2019,4,144301471
2019,4,144301489
2019,3,144301493
2019,3,144301492
2019,4,144301497
2019,4,144301498
2019,4,144301501
2019,4,144301502
2019,4,144301504
2019,4,144301505
2019,4,144301509
2019,4,144301511
2019,1,144301514
2019,1,144301515
2019,3,144301523
2019,3,144301524
2019,4,144301525
2019,4,144301529
2019,4,144301537
2019,4,144301544
2019,4,144301548
2019,4,144301554
2019,4,144301558
2019,4,144301560
2019,4,144301561
2019,4,144301562
2019,3,144301569
2019,4,144301572
2019,4,144301573
2019,4,144301574
2019,4,144301577
2019,3,144301581
2019,4,144301584
2019,4,144301583
2019,4,144301588
2019,4,144301589
2019,3,144301608
2019,3,144301607
2019,4,144301603
2019,4,144301609
2019,4,144301610
2019,1,144301612
2019,4,144301617
2019,4,144301615
2019,4,144301618
2019,4,144301619
2019,4,144301624
2019,4,144301623
2019,4,144301625
2019,4,144301627
2019,1,144301630
2019,3,144301630
2019,4,144301635
2019,4,144301639
2019,4,144301640
2019,4,144301641
2019,4,144301646
2019,4,144301650
2019,4,144301652
2019,4,144301653
2019,4,144301658
2019,4,144301656
2019,4,144301655
2019,1,144301657
2019,4,144301660
2019,3,144301661
2019,4,144301662
2019,4,144301663
2019,4,144301664
2019,3,144301665
2019,4,144301666
2019,4,144301671
2019,4,144301669
2019,4,144301672
2019,4,144301674
2019,3,144301679
2019,3,144301680
2019,4,144301682
2019,3,144301684
2019,4,144301695
2019,3,144301698
2019,4,144301699
2019,3,144301704
2019,3,144301703
2019,4,144301706
2019,4,144301710
2019,4,144301725
2019,4,144301729
2019,4,144301733
2019,4,144301740
2019,4,144301742
2019,4,144301744
2019,4,144301746
2019,4,144301749
2019,2,144301748
2019,3,144301751
2019,4,144301752
2019,4,144301754
2019,4,144301753
2019,1,144301756
2019,4,144301762
2019,4,144301766
2019,4,144301768
2019,4,144301772
2019,4,144301773
2019,4,144301780
2019,4,144301776
2019,4,144301782
2019,4,144301785
2019,4,144301787
2019,4,144301789
2019,4,144301790
2019,4,144301791
2019,4,144301794
2019,4,144301802
2019,4,144301809
2019,4,144301811
2019,3,144301810
2019,4,144301816
2019,4,144301820
2019,3,144301821
2019,1,144301824
2019,1,144301823
2019,4,144301827
2019,4,144301837
2019,4,144301840
2019,3,144301845
2019,3,144301846
2019,4,144301850
2019,4,144301849
2019,3,144301852
2019,3,144301853
2019,4,144301857
2019,4,144301855
2019,4,144301856
2019,4,144301860
2019,4,144301862
2019,4,144301861
2019,4,144301865
2019,4,144301872
2019,4,144301873
2019,4,144301875
2019,4,144301881
2019,4,144301883
2019,4,144301884
2019,4,144301885
2019,3,144301886
2019,4,144301891
2019,4,144301890
2019,4,144301894
2019,4,144301896
2019,4,144301895
2019,4,144301901
2019,4,144301900
2019,3,144301902
2019,3,144301903
2019,4,144301905
2019,4,144301909
2019,4,144301914
2019,4,144301915
2019,4,144301921
2019,4,144301920
2019,4,144301926
2019,4,144301927
2019,4,144301933
2019,2,144301940
2019,2,144301936
2019,4,144301946
2019,4,144301947
2019,4,144301964
2019,1,144301966
2019,4,144301974
2019,4,144301984
2019,4,144301991
2019,4,144301990
2019,4,144301992
2019,4,144301994
2019,4,144302000
2019,3,144302006
2019,3,144302005
2019,4,144302014
2019,4,144302017
2019,3,144302048
2019,4,144302055
2019,4,144302061
2019,4,144302066
