"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,147720121
2019,3,147725986
2019,3,147725987
2019,3,147728371
2019,4,147731183
2019,4,147731296
2019,3,147728585
2019,4,147731325
2019,4,147720601
2019,4,147720621
2019,4,147731405
2019,4,147720665
2019,4,147731414
2019,4,147731432
2019,4,147731469
2019,4,147731474
2019,4,147720733
2019,4,147731473
2019,4,147728729
2019,4,147728744
2019,4,147720799
2019,3,147736391
2019,3,147731955
2019,3,147731977
2019,3,147731978
2019,4,147736438
2019,3,147736472
2019,3,147729285
2019,4,147729293
2019,1,147732042
2019,4,147729302
2019,4,147736517
2019,3,147736539
2019,3,147732096
2019,3,147732102
2019,3,147729341
2019,4,147732142
2019,3,147732183
2019,3,147729406
2019,3,147736673
2019,3,147729428
2019,1,147729450
2019,3,147732254
2019,3,147736715
2019,4,147732618
2019,3,147737103
2019,4,147737166
2019,4,147729731
2019,4,147729732
2019,4,147737256
2019,3,147737357
2019,3,147729859
2019,4,147729952
2019,4,144669015
2019,4,144668990
2019,4,144669043
2019,4,144676626
2019,4,144676639
2019,3,144676657
2019,3,144676658
2019,3,144670452
2019,3,144676674
2019,3,144672890
2019,3,144676694
2019,4,144676698
2019,4,144672923
2019,4,144676725
2019,4,144670534
2019,4,144672966
2019,4,144676760
2019,1,144670545
2019,3,144676780
2019,3,144676781
2019,3,144673013
2019,1,144670613
2019,4,144673071
2019,4,144670623
2019,4,144670634
2019,3,144673099
2019,3,144673100
2019,3,144670653
2019,3,144670654
2019,4,144670662
2019,1,144673108
2019,1,144670705
2019,3,144676958
2019,4,144676970
2019,4,144676978
2019,4,144673157
2019,4,144673156
2019,4,144676982
2019,4,144670757
2019,4,144673216
2019,2,144677010
2019,4,144673244
2019,4,144673247
2019,4,144673253
2019,3,144677034
2019,3,144673263
2019,4,144673272
2019,4,144677043
2019,4,144673282
2019,3,144673287
2019,3,144673288
2019,4,144681405
2019,3,144674241
2019,3,144674240
2019,3,144681424
2019,4,144677839
2019,4,144681474
2019,3,144677854
2019,3,144681475
2019,3,144674342
2019,3,144677883
2019,4,144674368
2019,4,144681513
2019,4,144674392
2019,4,144674408
2019,4,144674422
2019,4,144677934
2019,4,144674421
2019,4,144681541
2019,3,144674468
2019,3,144678294
2019,4,144681933
2019,4,144681937
2019,4,144674891
2019,4,144682017
2019,4,144682025
2019,4,144675035
2019,4,144682045
2019,4,144682059
2019,4,144675087
2019,4,144678417
2019,4,144678429
2019,4,144678442
2019,3,144675168
2019,4,144678460
2019,4,144682182
2019,4,144678472
2019,4,144675210
2019,1,144678498
2019,4,144682216
2019,4,144675235
2019,4,144675250
2019,4,144678531
2019,4,144682274
2019,3,144682288
2019,3,144682287
2019,3,144678580
2019,1,144678580
2019,4,144675390
2019,4,144682373
2019,4,144682372
2019,1,144675645
2019,3,144682552
2019,3,144682553
2019,4,144682556
2019,1,144675663
2019,3,144682600
2019,3,144682599
2019,3,144682598
2019,4,144682648
2019,4,144675733
2019,1,144679028
2019,3,144679028
2019,1,144679029
2019,3,144679029
2019,3,144675749
2019,4,144682694
2019,4,144679056
2019,3,144675849
2019,3,144682790
2019,4,144679153
2019,1,144675898
2019,4,144682833
2019,1,144675937
2019,3,144675937
2019,1,144675938
2019,3,144675938
2019,4,144675947
2019,4,144679203
2019,2,144679218
2019,4,147717182
2019,4,147717257
2019,4,147717260
2019,4,147717284
2019,4,147722674
2019,4,147722673
2019,4,147717302
2019,3,147717325
2019,4,147717329
2019,4,147717337
2019,4,147722728
2019,4,147710622
2019,4,147717379
2019,4,147722866
2019,4,147717562
2019,4,147717568
2019,4,147717578
2019,4,147722894
2019,4,147717583
2019,4,147717690
2019,4,147722992
2019,4,147710775
2019,3,147717776
2019,1,147717776
2019,3,147723082
2019,4,147717834
2019,4,147717841
2019,4,147717881
2019,4,147717903
2019,4,147717908
2019,4,147717915
2019,4,147717920
2019,4,147717926
2019,4,147710903
2019,4,147723244
2019,4,147710927
2019,1,147717972
2019,3,147717996
2019,3,147717995
2019,4,147718028
2019,4,147718027
2019,4,147710971
2019,1,147718044
2019,3,147710980
2019,1,147718172
2019,4,147723479
2019,4,147723496
2019,3,147718226
2019,1,147718226
2019,3,147718225
2019,1,147718225
2019,4,147711109
2019,4,147711108
2019,3,147711117
2019,3,147711116
2019,4,147718286
2019,4,147723550
2019,1,147711159
2019,4,147723566
2019,4,147711169
2019,4,147711170
2019,4,147718344
2019,4,147718343
2019,3,147718404
2019,4,147718412
2019,4,147723679
2019,1,147723726
2019,4,147718519
2019,4,147718520
2019,4,147718523
2019,4,147718534
2019,4,147724453
2019,4,147724454
2019,3,147726755
2019,4,147718745
2019,4,147724487
2019,4,147726862
2019,4,147726867
2019,4,147724651
2019,4,147726882
2019,4,147724670
2019,4,147718842
2019,3,147726887
2019,3,147726886
2019,1,147718856
2019,4,147718876
2019,4,147724722
2019,3,147718894
2019,3,147726948
2019,4,147724777
2019,4,147728343
2019,4,147725983
2019,4,147728382
2019,4,147720321
2019,4,147728405
2019,4,147726130
2019,4,147731176
2019,4,147731212
2019,4,147731357
2019,4,147728651
2019,4,147720685
2019,3,147731435
2019,4,147728689
2019,3,147720707
2019,3,147731486
2019,3,147731487
2019,3,147731499
2019,3,147731500
2019,4,147720802
2019,4,147731551
2019,3,147720817
2019,3,147720815
2019,4,147720832
2019,3,147720825
2019,3,147731559
2019,3,147720823
2019,3,147720831
2019,3,147720828
2019,4,147731623
2019,3,147720911
2019,3,147728828
2019,4,147728843
2019,4,147720935
2019,3,147720951
2019,3,147731657
2019,4,147728873
2019,4,147720962
2019,3,147721028
2019,1,147721028
2019,3,147731725
2019,3,147721041
2019,3,147721074
2019,4,147728962
2019,4,147728961
2019,4,147731774
2019,4,147731773
2019,3,147721105
2019,4,147731788
2019,4,147731790
2019,3,147731795
2019,1,147729021
2019,4,147721150
2019,3,147736210
2019,3,147731855
2019,4,147736262
2019,4,147729104
2019,4,147731886
2019,4,147729115
2019,4,147731907
2019,3,147731913
2019,3,147729138
2019,3,147736312
2019,3,147729160
2019,3,147736341
2019,3,147736394
2019,4,147729241
2019,1,147729249
2019,1,147729250
2019,4,147732057
2019,4,147732056
2019,3,147729414
2019,4,147732199
2019,1,147732208
2019,3,147732208
2019,1,147736674
2019,3,147736674
2019,3,147736694
2019,3,147729454
2019,4,147729460
2019,3,147729490
2019,3,147729491
2019,4,147732351
2019,4,147736829
2019,4,147736828
2019,4,147729531
2019,4,147729530
2019,4,147732407
2019,3,147732468
2019,3,147736934
2019,4,147729591
2019,4,147729602
2019,4,147736971
2019,4,147732506
2019,4,147732513
2019,4,147729624
2019,4,147729625
2019,1,147729646
2019,3,147732562
2019,3,147732561
2019,4,147732590
