"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2016,3,105932801
2016,3,105932802
2016,3,105932804
2016,3,105932805
2016,3,105932806
2016,3,105932818
2016,3,105932819
2016,3,105932834
2016,3,105932835
2016,3,105932836
2016,3,105932837
2016,3,105933877
2016,3,105933878
2016,3,105933882
2016,3,105933897
2016,3,105933941
2016,3,105933942
2016,3,105934948
2016,3,105934949
2016,3,105934990
2016,3,105934993
2016,3,105937133
2016,3,105937134
2016,3,105937147
2016,3,105937171
2016,3,105937175
2016,3,105937176
2016,3,105940480
2016,3,105941536
2016,3,105941556
2016,3,105941557
2016,3,105942622
2016,3,105942627
2016,3,105942629
2016,3,105942632
2016,3,105942633
2016,3,105942644
2016,3,105942663
2016,3,105942664
2016,3,105942668
2016,3,105942680
2016,3,105944780
2016,3,105944785
2016,3,105944786
2016,3,105944796
2016,3,105944816
2016,3,105944817
2016,3,105928708
2016,3,105928709
2016,3,105928735
2016,3,105928741
2016,3,105928742
2016,3,105928745
2016,3,105928751
2016,3,105928752
2016,3,105928762
2016,3,105929703
2016,3,105929735
2016,3,105929736
2016,3,105929768
2016,3,105930730
2016,3,105930773
2016,3,105930774
2016,3,105931773
2016,3,105931797
2016,3,105931830
2016,3,105932891
2016,3,105932900
2016,3,105932933
2016,3,105933943
2016,3,105933945
2016,3,105933946
2016,3,105933951
2016,3,105933952
2016,3,105933993
2016,3,105934001
2016,3,105934004
2016,3,105935019
2016,3,105935036
2016,3,105935037
2016,3,105935038
2016,3,105935045
2016,3,105935055
2016,3,105935058
2016,3,105935059
2016,3,105935073
2016,3,105935074
2016,3,105937203
2016,3,105937204
2016,3,105937227
2016,3,105937228
2016,3,105937232
2016,3,105940492
2016,3,105940497
2016,3,105940498
2016,3,105940500
2016,3,105940502
2016,3,105940503
2016,3,105941615
2016,3,105941620
2016,3,105941645
2016,3,105941649
2016,3,105941650
2016,3,105942686
2016,3,105942688
2016,3,105942689
2016,3,105942698
2016,3,105942703
2016,3,105942704
2016,3,105942709
2016,3,105942710
2016,3,105942713
2016,3,105942715
2016,3,105942716
2016,3,105942732
2016,3,105942733
2016,3,105942738
2016,3,105942739
2016,3,105942741
2016,3,105942742
2016,3,105942743
2016,3,105943781
2016,3,105943807
2016,3,105944827
2016,3,105944828
2016,3,105944829
2016,3,105944860
2016,3,105944864
2016,3,105944865
2016,3,105944886
2016,3,105928763
2016,3,105928767
2016,3,105928780
2016,3,105928781
2016,3,105928809
2016,3,105928810
2016,3,105928812
2016,3,105928814
2016,3,105928815
2016,3,105928816
2016,3,105928824
2016,3,105928825
2016,3,105928826
2016,3,105928827
2016,3,105929786
2016,3,105929787
2016,3,105930804
2016,3,105930805
2016,3,105930810
2016,3,105930811
2016,3,105930817
2016,3,105930818
2016,3,105930854
2016,3,105930856
2016,3,105930859
2016,3,105930863
2016,3,105930864
2016,3,105931840
2016,3,105931881
2016,3,105931896
2016,3,105931897
2016,3,105931898
2016,3,105931899
2016,3,105932935
2016,3,105934010
2016,3,105934011
2016,3,105934012
2016,3,105934027
2016,3,105934056
2016,3,105934057
2016,3,105935092
2016,3,105935093
2016,3,105935094
2016,3,105935125
2016,3,105935126
2016,3,105935127
2016,3,105935137
2016,3,105935142
2016,3,105940586
2016,3,105940621
2016,3,105941673
2016,3,105941674
2016,3,105941724
2016,3,105941725
2016,3,105942758
2016,3,105942759
2016,3,105942760
2016,3,105942763
2016,3,105942764
2016,3,105942769
2016,3,105942779
2016,3,105942780
