"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2016,6,110971084
2016,8,110971084
2016,6,110971082
2016,8,110971082
2016,6,110971744
2016,1,110971746
2016,6,110971810
2016,6,110971812
2016,9,110972654
2016,6,110972791
2016,6,110976777
2016,9,110978954
2016,6,110979051
2016,6,110979049
2016,8,110979415
2016,9,110979981
2016,9,110979990
2016,6,110980104
2016,9,110981136
2016,6,110982318
2016,6,110982538
2016,6,110982540
2016,6,110984667
2016,6,110984678
2016,6,110984669
2016,6,110984848
2016,6,110984845
2016,6,110985375
2016,1,110986100
2016,5,110986140
2016,1,110986614
2016,1,110991793
2016,6,110995153
2016,8,110995446
2016,8,110995488
2016,6,110995496
2016,6,110997589
2016,6,110997590
2016,6,110997947
2016,6,110998560
2016,6,110999375
2016,8,110999375
2016,6,110999378
2016,6,110999542
2016,6,111000305
2016,6,111000308
2016,3,111000303
2016,6,111000303
2016,6,111001490
2016,6,111001937
2016,8,111002266
2016,6,111002379
2016,6,111002382
2016,8,111015570
2016,8,111016002
2016,6,111017384
2016,6,111017482
2016,6,111018314
2016,6,111025218
2016,6,111025210
2016,6,111025214
2016,6,111025353
2016,6,111027060
2016,6,111027070
2016,6,111027061
2016,8,111028932
2016,6,111030767
2016,6,111030787
2016,6,111031220
2016,8,111032276
2016,6,111033368
2016,6,111033362
2016,6,111033992
2016,8,111033992
2016,6,111034424
2016,6,111034437
2016,6,111034479
2016,8,111034479
2016,6,111034483
2016,8,111034483
2016,6,111034485
2016,8,111034485
2016,6,111034622
2016,6,111034624
2016,8,111034624
2016,6,111034620
2016,8,111035718
2016,6,111038229
2016,6,111039894
2016,6,111042133
2016,6,111042666
2016,6,111043121
2016,2,111044394
2016,6,111045322
2016,6,111046054
2016,6,111046865
2016,6,111046866
2016,2,111047067
2016,6,111048406
2016,9,111049138
2016,6,111049550
2016,6,111049553
2016,6,111049937
2016,6,111051537
2016,6,111051540
2016,6,111051606
2016,3,111052452
2016,3,111052457
2016,6,111052536
2016,6,111052539
2016,6,111052722
2016,6,111052718
2016,6,111053136
2016,6,111053129
2016,6,110971063
2016,8,110971063
2016,6,110971068
2016,8,110971068
2016,6,110971160
2016,8,110971160
2016,6,110971219
2016,6,110971873
2016,6,110971875
2016,3,110971963
2016,6,110971963
2016,8,110971963
2016,9,110972563
2016,9,110972687
2016,6,110972795
2016,8,110972795
2016,6,110972798
2016,8,110972798
2016,6,110974876
2016,6,110974872
2016,6,110975356
2016,6,110975351
2016,8,110975351
2016,6,110976225
2016,8,110976225
2016,6,110976222
2016,8,110976222
2016,6,110977775
2016,9,110979176
2016,8,110979332
2016,9,110979408
2016,9,110981731
2016,6,110983165
2016,6,110983169
2016,6,110984067
2016,6,110984064
2016,6,110984267
2016,6,110984624
2016,6,110984623
2016,6,110985209
2016,1,110986137
2016,6,110995007
2016,6,110995298
2016,8,110995702
2016,6,110996692
2016,6,110996690
2016,3,110997344
2016,6,110998395
2016,6,110998394
2016,6,110998389
2016,6,110998609
2016,6,110998603
2016,6,110998606
2016,6,110998805
2016,8,110998805
2016,6,110999070
2016,6,110999077
2016,6,110999071
2016,6,110999566
2016,6,110999564
2016,6,110999562
2016,6,110999573
2016,8,110999780
2016,6,111000024
2016,6,111000022
2016,6,111001438
2016,6,111003211
2016,6,111005125
2016,6,111005123
2016,6,111009350
2016,6,111009793
2016,6,111009790
2016,6,111013228
2016,6,111013230
2016,6,111016774
2016,6,111016775
2016,6,111016879
2016,6,111016878
2016,6,111017975
2016,8,111018918
2016,6,111026634
2016,8,111028041
2016,8,111028341
2016,6,111028779
2016,6,111028783
2016,8,111029095
2016,6,111029529
2016,6,111029550
2016,6,111030345
2016,6,111030340
2016,6,111030996
2016,6,111035323
2016,6,111035321
2016,6,111037952
2016,6,111037963
2016,6,111041630
2016,6,111042123
2016,6,111043117
2016,8,111048737
2016,6,111048880
2016,6,111048875
2016,9,111049200
2016,6,111049571
2016,6,111049590
2016,6,111049589
2016,6,111050066
2016,6,111051288
2016,6,111051686
2016,6,111052543
2016,6,111052542
2016,6,111061483
2016,6,111062031
2016,6,111062029
2016,6,111062114
2016,6,111062241
2016,6,111063453
2016,6,111063462
2016,6,111063875
2016,6,111063876
2016,6,111065796
2016,6,111076282
2016,6,111076856
2016,6,111077845
2016,6,111078587
2016,6,111079075
2016,6,111082978
2016,6,111083589
2016,6,111084743
2016,6,111084744
2016,6,111086751
2016,3,111087090
2016,6,111088165
2016,6,111088167
2016,6,111090858
2016,6,111098058
2016,6,111098094
2016,6,111099924
2016,6,111100366
2016,6,111101717
2016,6,111101862
2016,8,111102234
2016,6,111102326
2016,6,111102513
2016,6,111104184
2016,6,111108485
2016,6,111109031
2016,6,111109240
2016,6,111109242
2016,6,111109284
2016,6,111109343
2016,6,111109345
2016,6,111109414
2016,6,111109409
2016,6,111109672
2016,6,111110220
2016,6,111110223
2016,6,111112649
2016,6,111112651
2016,6,111113080
2016,6,111113075
2016,6,111113305
2016,6,111114218
2016,6,111114216
2016,6,111114650
2016,6,111115012
2016,6,111115038
2016,6,111115236
2016,6,111115237
2016,6,111115627
2016,8,111115627
2016,6,111115726
2016,6,111115723
2016,8,111115723
2016,6,111115718
2016,8,111115718
2016,8,111116148
2016,8,111116150
2016,5,111116260
2016,6,111119173
2016,1,111119174
2016,6,111120507
2016,6,111120503
2016,8,111122009
2016,6,111122240
2016,8,111122562
2016,6,111124071
2016,6,111124288
2016,6,111125099
2016,6,111125102
2016,8,111125945
2016,8,111125922
2016,6,111126634
2016,6,111126735
2016,6,111127102
2016,6,111127106
2016,8,111127598
2016,1,111127737
2016,6,111128265
2016,8,111128371
2016,6,111014104
2016,6,111014846
2016,6,111014847
2016,8,111015367
2016,6,111016395
2016,6,111016393
2016,6,114022380
2016,8,111025236
2016,6,111026166
2016,6,111026173
2016,6,111026168
2016,6,111027456
2016,6,111027457
2016,8,111028492
2016,8,111034628
2016,6,111034756
2016,6,111037391
2016,3,111037506
2016,3,111037507
2016,8,111038349
2016,6,111040686
2016,6,111040685
2016,6,111042629
2016,6,114023224
2016,6,114023227
2016,6,111043609
2016,6,111043604
2016,8,111043685
2016,6,111044140
2016,8,111044653
2016,6,111044654
2016,8,111044725
2016,6,111045965
2016,6,111046501
2016,6,111048664
2016,6,111048802
2016,3,111049454
2016,3,111049450
2016,6,111049708
2016,6,111049707
2016,3,111050032
2016,6,111050043
2016,6,111050047
2016,6,111050192
2016,6,111051157
2016,6,111051368
2016,6,111051367
2016,3,111051791
2016,6,111052258
2016,6,111052255
2016,6,111052610
2016,6,111052615
2016,6,111052881
2016,6,111053009
2016,6,111053011
2016,6,111056985
2016,6,111057344
2016,6,111057343
2016,6,111057505
2016,6,111057894
2016,6,111057893
2016,6,111058961
2016,3,111058957
2016,2,111062093
2016,3,111062860
2016,6,111062860
2016,6,111066211
2016,6,111070174
2016,6,111071267
2016,6,111071268
2016,6,111071438
2016,6,111071659
2016,6,111071662
2016,3,111071737
2016,6,111071738
2016,6,111071774
2016,6,111071773
2016,6,111074834
2016,1,111074831
2016,6,111074955
2016,6,111074957
2016,6,111075803
2016,6,111076463
2016,6,111078033
2016,6,111078031
2016,6,111080460
2016,6,111081891
2016,6,111081943
2016,6,111082169
2016,6,111082982
2016,6,111083703
2016,6,111083793
2016,6,111084093
