"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,146869718
2019,4,146869723
2019,4,146869734
2019,4,146869794
2019,4,146863884
2019,4,146863904
2019,3,146870063
2019,3,146870062
2019,4,146870061
2019,4,146864164
2019,4,146870307
2019,4,146870306
2019,4,146864258
2019,3,146864266
2019,3,146864265
2019,4,146864275
2019,4,146870387
2019,4,146870423
2019,4,146864318
2019,4,146870424
2019,4,146870442
2019,4,146870453
2019,4,146864456
2019,4,146864484
2019,4,146864493
2019,3,146870716
2019,3,146870717
2019,3,146864532
2019,4,146864536
2019,4,146870802
2019,4,146870801
2019,4,146864581
2019,4,146864582
2019,4,146864585
2019,4,146870883
2019,4,146864609
2019,4,146870916
2019,4,146870954
2019,4,146864666
2019,4,146871002
2019,4,146864691
2019,4,146864712
2019,4,146864717
2019,4,146871329
2019,4,146864957
2019,4,146871376
2019,4,146871378
2019,4,146864962
2019,4,146871402
2019,3,146864994
2019,3,146864995
2019,3,146865004
2019,4,146871441
2019,4,146871451
2019,4,146871453
2019,4,146865010
2019,3,146865075
2019,4,146871567
2019,4,146865156
2019,3,146871647
2019,3,146871648
2019,4,146865208
2019,4,146865207
2019,4,146865204
2019,4,146865250
2019,4,146871716
2019,4,146871718
2019,4,146865264
2019,4,146865268
2019,4,146871730
2019,4,146871770
2019,3,146865369
2019,3,146871808
2019,4,146871831
2019,3,146865407
2019,3,146865408
2019,4,146865420
2019,4,146865421
2019,4,146871849
2019,4,146871852
2019,4,146871853
2019,4,146871851
2019,4,146865447
2019,4,146865446
2019,4,146865452
2019,4,146871864
2019,4,146865474
2019,4,146865484
2019,4,146865494
2019,3,146871901
2019,3,146865504
2019,4,146871950
2019,3,146871962
2019,3,146865598
2019,3,146865604
2019,4,146871970
2019,4,146865607
2019,4,146872039
2019,4,146872052
2019,4,146865700
2019,4,146865723
2019,4,146865770
2019,4,146865773
2019,4,146865771
2019,4,146865808
2019,4,146865844
2019,3,146865856
2019,3,146865869
2019,4,146865933
2019,4,146865938
2019,4,146865939
2019,4,146865947
2019,4,146865959
2019,4,146872318
2019,4,146866005
2019,4,146872415
2019,4,146872461
2019,4,146866092
2019,4,146866091
2019,4,146872484
2019,4,146866101
2019,3,146866110
2019,1,146866110
2019,4,146866141
2019,4,146852395
2019,1,146852403
2019,3,146856243
2019,3,146852735
2019,4,146855044
2019,4,146858978
2019,4,146859054
2019,4,146859053
2019,4,146855263
2019,4,146855262
2019,3,146855274
2019,3,146855273
2019,4,146855296
2019,4,146855325
2019,4,146855347
2019,4,146859123
