"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,8,148542817
2019,3,148542817
2019,3,148542816
2019,8,148542816
2019,6,148542924
2019,6,148540378
2019,6,148540379
2019,6,148540506
2019,7,148540506
2019,8,148540506
2019,6,148543840
2019,8,148543840
2019,6,148540507
2019,7,148540507
2019,8,148540507
2019,3,148543877
2019,6,148544548
2019,6,148544602
2019,6,148552169
2019,6,148552168
2019,6,148552463
2019,3,148552465
2019,6,148545043
2019,3,148545584
2019,6,148545654
2019,6,148545656
2019,3,148545656
2019,6,148553221
2019,6,148546644
2019,3,148553865
2019,6,148557141
2019,6,148554874
2019,6,148554875
2019,3,148547082
2019,7,148547082
2019,6,148557678
2019,8,148542742
2019,7,148542716
2019,8,148542716
2019,6,148542715
2019,7,148542715
2019,8,148542715
2019,6,148542717
2019,7,148542717
2019,8,148542717
2019,6,148542789
2019,6,148542876
2019,8,148542949
2019,6,148538682
2019,6,148543031
2019,8,148543031
2019,6,148543032
2019,8,148543032
2019,8,148543043
2019,8,148543042
2019,3,148539298
2019,6,148543418
2019,8,148543418
2019,6,148539819
2019,6,148543489
2019,6,148543488
2019,8,148520950
2019,6,148543554
2019,6,148520978
2019,6,148543704
2019,8,148543704
2019,6,148540259
2019,6,148540343
2019,6,148543797
2019,6,148540513
2019,8,148543851
2019,6,148540547
2019,7,148540547
2019,8,148540547
2019,6,148543864
2019,8,148540593
2019,6,148543950
2019,6,148543965
2019,6,148543986
2019,6,148544012
2019,6,148540688
2019,6,148521122
2019,6,148544044
2019,8,148544044
2019,6,148544175
2019,6,148546214
2019,6,148546215
2019,8,148546230
2019,6,148541167
2019,6,148551266
2019,6,148551366
2019,6,148551367
2019,1,148544317
2019,6,148551444
2019,6,148546292
2019,6,148551513
2019,1,148546371
2019,6,148546371
2019,6,148544503
2019,6,148544502
2019,6,148544514
2019,6,148544515
2019,6,148544542
2019,6,148544543
2019,6,148546395
2019,6,148551997
2019,8,148551997
2019,6,148544646
2019,8,148544646
2019,6,148544641
2019,6,148544642
2019,7,148552284
2019,7,148552283
2019,6,148552299
2019,6,148544908
2019,6,148552350
2019,6,148544979
2019,6,148545058
2019,6,148552509
2019,6,148552558
2019,6,148552557
2019,4,148552631
2019,3,148545211
2019,6,148545211
2019,7,148545211
2019,6,148552739
2019,6,148552742
2019,6,148552743
2019,6,148545270
2019,6,148545324
2019,1,148545325
2019,6,148545325
2019,6,148552831
2019,6,148552832
2019,5,148545340
2019,6,148545449
2019,6,148545448
2019,6,148546505
2019,6,148553008
2019,8,148553115
2019,6,148545607
2019,6,148545606
2019,6,148545618
2019,6,148545630
2019,6,148545631
2019,6,148545715
2019,3,148553277
2019,6,148545909
2019,8,148553434
2019,6,148545962
2019,6,148553480
2019,6,148553479
2019,6,148546042
2019,6,148553508
2019,6,148546600
2019,6,148553531
2019,2,148546106
2019,6,148553671
2019,6,148556205
2019,6,148553729
2019,3,148546654
2019,1,148553814
2019,6,148553836
2019,7,148553836
2019,8,148553836
2019,6,148554244
2019,6,148554299
2019,6,148554320
2019,3,148554355
2019,3,148546826
2019,6,148556811
2019,3,148556942
2019,6,148554738
2019,6,148554741
2019,8,148546967
2019,6,148555231
2019,6,148555407
2019,3,148557651
2019,6,148555545
2019,6,148557725
2019,6,148547329
2019,6,148547328
2019,6,148555803
2019,7,148555803
2019,6,148555802
2019,7,148555802
2019,6,147168688
2019,6,147162784
2019,8,147162784
2019,6,147168829
2019,6,147162811
2019,6,147168896
2019,7,147168896
2019,1,147162895
2019,6,147163440
2019,1,147163473
2019,6,147163547
2019,6,147163546
2019,6,147169729
2019,6,147169730
2019,6,147173590
2019,6,147170113
2019,6,147173893
2019,6,147164080
2019,8,147164080
2019,6,147170488
2019,6,147170487
2019,6,147174524
2019,7,147174524
2019,8,147174524
2019,5,147175341
2019,6,147175342
2019,6,147177356
2019,6,147177357
2019,6,147165510
2019,3,147177378
2019,6,147175389
2019,6,147165558
2019,6,147165559
2019,6,147175584
2019,6,147177591
2019,8,147177591
2019,7,147177665
2019,6,147177721
2019,7,147177721
2019,8,147177721
2019,6,147165942
2019,7,147165942
2019,8,147165942
2019,6,147166044
2019,6,147166172
2019,8,147166172
2019,6,147166173
2019,7,147166173
2019,8,147166173
2019,6,147171492
2019,6,147166815
2019,1,147161678
2019,3,147161678
2019,8,147161678
2019,6,147166863
2019,7,147166863
2019,6,147171580
2019,8,147171580
2019,6,147171621
2019,8,147171621
2019,3,147171622
2019,8,147171622
2019,6,147167087
2019,6,147161817
2019,7,147161817
2019,8,147161817
2019,6,147162202
2019,8,147167996
2019,6,147172289
2019,6,147168331
2019,6,147168332
2019,8,147168481
2019,8,147172576
2019,6,147172624
2019,7,147168592
2019,6,147169084
2019,7,147163042
2019,6,147163244
2019,6,148561231
2019,6,148561331
2019,8,148558108
2019,6,148558118
2019,6,148561524
2019,6,148561550
2019,6,148561551
2019,6,148561833
2019,6,148561831
2019,6,148558410
2019,6,148558423
2019,6,148558625
2019,1,148558627
2019,6,148558687
2019,2,148558836
2019,6,148558852
2019,1,148559010
2019,6,148559020
2019,6,147169512
2019,7,147169512
2019,8,147169512
2019,6,147169514
2019,7,147169514
2019,8,147169514
2019,6,147173303
2019,8,147173303
2019,6,147173369
2019,8,147174117
2019,6,147170520
2019,7,147170520
2019,1,147174178
2019,6,147164570
2019,6,147171106
2019,6,147176294
2019,6,147164712
2019,6,147164742
2019,6,147176408
2019,6,147164803
2019,8,147164803
2019,6,147174984
2019,6,147177200
2019,6,147165343
2019,6,147175325
2019,6,147175589
2019,6,147175590
2019,6,147177631
2019,6,147165886
2019,6,147177669
2019,6,147177684
2019,6,147177774
2019,6,147175926
2019,6,147175927
2019,3,147175954
2019,6,147181273
2019,3,148542342
2019,5,148542342
2019,6,148537806
2019,6,148542407
2019,7,148542407
2019,6,148542526
2019,6,148542527
2019,6,148542560
2019,6,148543845
2019,6,148540569
2019,2,148540601
2019,6,148543911
2019,6,148540733
2019,6,148540734
