"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,4,127320768
2018,4,127384762
2018,4,127384770
2018,4,127384786
2018,4,127320842
2018,4,127332687
2018,4,127388553
2018,4,127328988
2018,4,127332713
2018,4,127384829
2018,4,127392447
2018,4,127320946
2018,4,127388625
2018,4,127332790
2018,4,127321002
2018,3,127329120
2018,3,127321027
2018,3,127329174
2018,3,127329175
2018,4,127392529
2018,4,127336143
2018,4,127329234
2018,4,127392541
2018,3,127392560
2018,3,127385003
2018,4,127388746
2018,4,127385051
2018,4,127332956
2018,4,127332961
2018,4,127332963
2018,4,127332974
2018,4,127385090
2018,4,127388825
2018,3,127336389
2018,3,127336390
2018,4,127333059
2018,4,127336433
2018,4,127388826
2018,4,127329560
2018,4,127329573
2018,4,127388854
2018,4,127385128
2018,4,127333163
2018,4,127336631
2018,4,127333203
2018,4,127333202
2018,4,127333217
2018,4,127333219
2018,3,127329741
2018,4,127333251
2018,4,127333254
2018,4,127333263
2018,4,127385188
2018,4,127392675
2018,4,127336737
2018,4,127333374
2018,4,127333382
2018,4,127336816
2018,4,127336818
2018,4,127329973
2018,4,127329981
2018,4,127329984
2018,4,127336828
2018,3,127330003
2018,3,127330019
2018,4,127333468
2018,4,127336864
2018,4,127333476
2018,3,127330038
2018,3,127330040
2018,4,127336894
2018,4,127336915
2018,4,127330086
2018,4,127333550
2018,4,127385217
2018,3,127336955
2018,4,127388946
2018,2,127385234
2018,4,127333605
2018,4,127392699
2018,4,127385247
2018,1,127337028
2018,3,127337028
2018,1,127337029
2018,3,127337029
2018,4,127333709
2018,4,127392739
2018,4,127389017
2018,1,127392747
2018,4,127333805
2018,4,127330355
2018,4,127333839
2018,4,127337201
2018,4,127333855
2018,4,127330393
2018,4,127333870
2018,3,127392747
2018,1,127389021
2018,4,127389078
2018,4,127330436
2018,4,127330451
2018,4,127337274
2018,4,127330492
2018,4,127337300
2018,3,127333955
2018,4,127333979
2018,1,127333995
2018,3,127389141
2018,4,127389160
2018,4,127337417
2018,4,127337463
2018,4,127392827
2018,4,127334115
2018,4,127334118
2018,4,127330718
2018,3,127334142
2018,3,127330735
2018,4,127389174
2018,4,127334173
2018,4,127334192
2018,4,127337657
2018,4,127385431
2018,4,127337726
2018,4,127334312
2018,1,127330917
2018,4,127334326
2018,4,127337803
2018,3,127337826
2018,4,127337843
2018,3,127334369
2018,4,127330980
2018,4,127389232
2018,4,127385494
2018,4,127337904
2018,4,127334427
2018,4,127334431
2018,4,127334429
2018,4,127334482
2018,4,127389317
2018,4,127337998
2018,4,127341147
2018,4,127341150
2018,4,127385551
2018,3,127334555
2018,3,127334554
2018,4,127338066
2018,4,127392919
2018,4,127334574
2018,4,127389335
2018,4,127341268
2018,4,127341293
2018,4,127389344
2018,4,127392931
2018,4,127385591
2018,3,127338175
2018,4,127338188
2018,4,127385597
2018,4,127389412
2018,4,127389448
2018,4,127341371
2018,4,127338229
2018,4,127334679
2018,4,127334697
2018,4,127338406
2018,4,127385660
2018,3,127334799
2018,4,127341581
2018,4,127338462
2018,4,127338481
2018,4,127385669
2018,4,127389519
2018,3,127334891
2018,4,127338572
2018,4,127338579
2018,4,127341728
2018,3,127393010
2018,4,127335000
2018,3,127338676
2018,3,127335007
2018,4,127385746
2018,4,127341838
2018,4,127335067
2018,4,127335091
2018,4,127338772
2018,4,127335113
2018,4,127338791
2018,1,127338804
2018,3,127338804
2018,4,127341902
2018,4,127338830
2018,4,127338854
2018,4,127338855
2018,4,127338870
2018,4,127338872
2018,3,127335173
2018,3,127335174
2018,4,127338876
2018,4,127335190
2018,4,127335217
2018,4,127389610
2018,4,127389615
2018,1,127341991
2018,4,127393039
2018,4,127389655
2018,4,127389654
2018,4,127389687
2018,4,127335316
2018,4,127339065
2018,4,127335349
2018,4,127339128
2018,3,127335406
2018,3,127335407
2018,4,127377663
2018,4,127373749
2018,4,127373751
2018,3,127377677
2018,4,127377686
2018,4,127421568
2018,4,127377734
2018,4,127377748
2018,4,127373852
2018,3,127373865
2018,3,127373872
2018,3,127377778
2018,3,127369811
2018,3,127373888
2018,4,127373902
2018,4,127377806
2018,4,127417284
2018,4,127373958
2018,4,127421615
2018,4,127374000
2018,4,127377880
2018,4,127374043
2018,4,127369913
2018,2,127377923
2018,3,127421663
2018,4,127413418
2018,4,127377953
2018,4,127374093
2018,4,127374103
2018,4,127421712
2018,4,127378001
2018,4,127369991
2018,4,127417359
2018,4,127413440
2018,4,127413454
2018,4,127370032
2018,3,127370031
2018,4,127378082
2018,4,127374180
2018,4,127370050
2018,4,127421766
2018,4,127413534
2018,4,127370107
2018,4,127374290
2018,4,127374292
2018,4,127374293
2018,4,127421918
2018,4,127421924
2018,4,127378216
2018,4,127374345
2018,4,127378228
2018,4,127370158
2018,4,127374375
2018,4,127374395
2018,4,127378263
2018,4,127370177
2018,4,127374463
2018,4,127421950
2018,4,127421962
2018,4,127417581
2018,4,127421999
2018,4,127417621
2018,3,127370276
2018,3,127374578
2018,4,127378443
2018,4,127422084
2018,4,127374699
2018,4,127417741
2018,4,127413758
2018,2,127417869
2018,2,127422331
2018,4,127422347
2018,3,127413822
2018,3,127413821
2018,4,127417990
2018,4,127418008
2018,4,127418051
2018,4,127422500
2018,4,127422519
2018,4,127422553
2018,4,127422573
2018,4,127422708
2018,3,127422724
2018,4,127422852
2018,4,127418397
2018,4,127418398
2018,4,127422972
2018,4,127418469
2018,4,127423025
2018,4,127423033
2018,4,127414163
2018,4,127423085
2018,4,127418544
2018,4,127423156
2018,4,127423168
2018,4,127418561
2018,4,127423379
2018,4,127418705
2018,4,127423415
2018,4,127414446
2018,4,127414451
2018,4,127414456
2018,4,127423632
2018,3,127418869
2018,4,127423639
2018,4,127423648
2018,4,127418890
2018,4,127423793
2018,3,127418997
2018,3,127423818
2018,4,127423868
2018,1,127423880
2018,3,127423880
2018,3,127423901
2018,4,127423903
2018,4,127423906
2018,4,127419058
2018,4,127414601
2018,3,127423985
2018,4,127414645
2018,4,127419148
2018,4,127419149
2018,4,127419158
2018,4,127419172
2018,4,127419211
2018,4,127414700
2018,3,127424094
2018,3,127424093
2018,4,127424102
2018,4,127414712
2018,4,127419261
2018,4,127419358
2018,4,127424239
2018,4,127424283
2018,4,127414865
2018,4,127424370
2018,4,127424375
2018,4,127419523
2018,4,127424389
2018,4,127414878
2018,4,127419544
2018,4,127424405
2018,4,127419560
2018,4,127424422
2018,4,127414888
2018,4,127419702
2018,4,127419703
2018,4,127424531
2018,4,127424547
2018,4,127414966
2018,4,127424568
2018,4,127414980
2018,4,127414988
2018,4,127419808
2018,4,127419840
2018,4,127419848
2018,4,127415075
2018,3,127420034
2018,4,127384778
2018,3,127388498
2018,4,127388546
2018,4,127392422
2018,3,127384843
2018,3,127384844
2018,3,127392456
2018,3,127392455
2018,3,127388609
2018,4,127384864
2018,4,127384863
2018,3,127407634
2018,3,127384935
2018,3,127388691
2018,3,127392534
2018,3,127384971
2018,3,127388715
2018,4,127384995
2018,4,127384998
2018,3,127385008
2018,3,127385009
2018,4,127388785
2018,4,127385065
2018,4,127385068
2018,1,127392622
2018,3,127392622
2018,4,127385114
2018,4,127399287
2018,4,127388923
2018,4,127385287
2018,4,127389062
2018,4,127392778
2018,4,127385959
2018,4,127398394
2018,4,127398419
2018,4,127398428
2018,4,127404649
2018,4,127406798
2018,4,127404680
2018,4,127398463
2018,4,127398465
2018,4,127406843
2018,4,127404801
2018,4,127398557
2018,4,127406956
2018,4,127406965
2018,1,127404838
2018,4,127398595
2018,1,127404887
2018,4,127404901
