"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,139687753
2019,4,139687726
2019,4,139691745
2019,4,139691793
2019,4,139691817
2019,4,139691816
2019,4,139687816
2019,4,139687866
2019,1,139685295
2019,1,139691880
2019,4,139688748
2019,4,139703122
2019,4,139703126
2019,4,139712182
2019,4,139712181
2019,4,139708066
2019,4,139712192
2019,4,139650322
2019,4,139650341
2019,4,139650413
2019,4,139650444
2019,4,139646015
2019,4,139646054
2019,4,139656251
2019,4,139655646
2019,4,139650899
2019,4,139656407
2019,4,139651065
2019,4,139655899
2019,4,139655898
2019,4,139655921
2019,4,139655934
2019,4,139655948
2019,4,139655978
2019,4,139656026
2019,4,139661271
2019,4,139656612
2019,4,139661287
2019,4,139656629
2019,4,139656100
2019,4,139656659
2019,4,139656692
2019,4,139666303
2019,3,139666462
2019,4,139666476
2019,1,139666496
2019,3,139666496
2019,1,139666495
2019,3,139666495
2019,4,139666526
2019,4,139661794
2019,4,139656947
2019,4,139661815
2019,4,139666570
2019,4,139666613
2019,4,139666617
2019,4,139656995
2019,4,139661882
2019,4,139657001
2019,4,139657034
2019,4,139666711
2019,4,139657039
2019,4,139661989
2019,4,139657057
2019,4,139657062
2019,1,139657061
2019,4,139666751
2019,4,139666768
2019,4,139657077
2019,4,139657092
2019,4,139666893
2019,4,139662181
2019,4,139662192
2019,4,139662230
2019,3,139662284
2019,3,139667007
2019,3,139667006
2019,4,139662304
2019,4,139662317
2019,4,139667044
2019,4,139662357
2019,4,139657321
2019,4,139667132
2019,4,139667143
2019,4,139657401
2019,4,139662533
2019,4,139667289
2019,4,139663071
2019,4,139663168
2019,4,139657820
2019,4,139668017
2019,4,139668016
2019,4,139663394
2019,3,139668040
2019,4,139658077
2019,4,139668110
2019,4,139658148
2019,4,139663508
2019,4,139658162
2019,4,139658247
2019,4,139658252
2019,4,139658271
2019,4,139658292
2019,4,139668261
2019,4,139668293
2019,4,139663763
2019,4,139663801
2019,4,139663808
2019,4,139669150
2019,3,139659211
2019,4,139669168
2019,4,139669187
2019,4,139664588
2019,4,139664689
2019,4,139659361
2019,4,139664743
2019,4,139664850
2019,4,139659510
2019,1,139669483
2019,4,139669526
2019,4,139659589
2019,4,139669579
2019,4,139669617
2019,4,139664997
2019,4,139669629
2019,4,139665041
2019,4,139669678
2019,4,139665050
2019,4,139669695
2019,3,139665075
2019,3,139669712
2019,4,139669716
2019,4,139659721
2019,4,139669778
2019,4,139665147
2019,4,139659896
2019,4,139669940
2019,4,139665274
2019,4,139659930
2019,4,139665336
2019,4,139665360
2019,4,139665359
2019,4,139665391
2019,4,139670041
2019,4,139670051
2019,4,139665404
2019,4,139665419
2019,4,139660064
2019,4,139665536
2019,3,139670198
2019,4,139665585
2019,4,139660243
2019,4,139660249
2019,4,139665650
2019,4,139660265
2019,4,139665666
2019,4,139665684
2019,4,139670294
2019,4,139665839
2019,4,139665851
2019,4,139670368
2019,4,139670402
2019,4,139660475
2019,4,139665942
2019,4,139670423
2019,3,139665953
2019,4,139660523
2019,4,139660535
2019,4,139666007
2019,4,139660545
2019,4,139670509
2019,4,139660569
2019,4,139666095
2019,4,139666111
2019,4,139670547
2019,4,139666138
2019,4,139670600
2019,4,139671232
2019,4,139671291
2019,4,139670664
2019,4,139671310
2019,1,139671328
2019,4,139660803
2019,4,139660809
2019,4,139671390
2019,4,139670753
2019,4,139670810
2019,4,139671472
2019,4,139671495
2019,4,139670864
2019,4,139671548
2019,4,139671563
2019,4,139671568
2019,4,139672030
2019,4,139681228
2019,4,139676482
2019,4,139672338
2019,2,139672398
2019,4,139676842
2019,4,139655504
2019,4,139655505
2019,4,139655544
2019,4,139655615
2019,3,139655734
2019,3,139650966
2019,4,139650997
2019,4,139651061
2019,3,139655846
2019,4,139655848
2019,3,139655845
2019,4,139655865
2019,3,139651096
2019,4,139651120
2019,4,139655923
2019,4,139655974
2019,4,139655999
2019,4,139661223
2019,3,139656037
2019,4,139656039
2019,1,139656611
2019,3,139656611
2019,4,139656073
2019,4,139661337
2019,4,139656651
2019,4,139656165
2019,3,139661423
2019,3,139661424
2019,4,139656712
2019,4,139666199
2019,4,139656735
2019,4,139661490
2019,4,139661489
2019,3,139661505
2019,4,139656765
2019,4,139666271
2019,4,139656776
2019,3,139656779
2019,4,139661536
2019,4,139666311
2019,4,139661597
2019,1,139661613
2019,1,139666364
2019,3,139666374
2019,4,139656870
2019,3,139661729
2019,3,139661730
2019,4,139661756
2019,4,139666501
2019,4,139661769
2019,4,139666552
2019,4,139666572
2019,4,139661825
2019,4,139666600
2019,4,139666610
2019,4,139661856
2019,4,139661855
2019,4,139666639
2019,4,139661899
2019,4,139657025
2019,4,139666693
2019,4,139666735
2019,3,139661996
2019,3,139666745
2019,3,139657078
2019,4,139666833
2019,4,139666841
2019,4,139666854
2019,4,139662388
2019,4,139657347
2019,4,139667153
2019,3,139667705
2019,4,139667747
2019,4,139667745
2019,4,139667778
2019,4,139663108
2019,4,139657809
2019,4,139663165
2019,4,139663164
2019,4,139658154
2019,4,139668162
2019,4,139658193
2019,4,139663545
2019,3,139668233
2019,1,139658281
2019,3,139658281
2019,1,139668238
2019,3,139668238
2019,4,139668244
2019,4,139668252
2019,4,139658294
2019,4,139663673
2019,4,139663694
2019,4,139658363
2019,3,139663754
2019,4,139658386
2019,3,139658391
2019,4,139658392
2019,4,139668355
2019,4,139668390
2019,4,139668412
2019,4,139663840
2019,4,139658466
2019,3,139663907
2019,4,139668523
2019,4,139668522
2019,4,139658635
2019,4,139658634
2019,4,139658639
2019,4,139668593
2019,4,139664045
2019,4,139658714
2019,3,139664097
2019,3,139668668
2019,3,139668675
2019,3,139668676
2019,4,139668679
2019,4,139664619
2019,4,139659269
2019,4,139669349
2019,4,139669369
2019,4,139669375
2019,4,139664809
2019,4,139664841
2019,4,139664860
2019,4,139659501
2019,4,139664872
2019,4,139669497
2019,4,139664909
2019,4,139659563
2019,4,139664960
2019,4,139659641
