"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,144478750,28261414
2019,12,144478745,28261412
2019,12,144478751,28261415
2019,12,144478759,28261417
2019,12,144478765,28261419
2019,12,144478788,28261425
2019,12,144478804,28261426
2019,12,144478807,28261428
2019,12,144478809,28261429
2019,3,144478812,28261431
2019,12,144478810,28261430
2019,2,144478814,28261433
2019,12,144478813,28261432
2019,12,144478819,28261435
2019,19,144478825,28261436
2019,12,144478832,28261437
2019,12,144478862,28264981
2019,12,144478873,28261439
2019,12,144478891,28261442
2019,18,144478897,28261444
2019,20,144478912,28261447
2019,12,144478915,28261448
2019,12,144478924,28261450
2019,12,144478929,28261451
2019,12,144478930,28261452
2019,20,144478931,28261453
2019,12,144478948,28261454
2019,20,144478954,28261456
2019,12,144478953,28261455
2019,20,144483428,28265001
2019,18,144478956,28261457
2019,12,144478961,28261458
2019,12,144478968,28261461
2019,19,144478967,28261460
2019,2,144478977,28261462
2019,12,144478979,28261463
2019,12,144483467,28265007
2019,12,144478985,28261464
2019,12,144478993,28261466
2019,12,144478994,28261467
2019,12,144479002,28261469
2019,5,144479007,28261470
2019,12,144479012,28261471
2019,12,144479016,28261472
2019,3,144479022,28261473
2019,18,144479029,28261474
2019,12,144479035,28261475
2019,12,144479047,28269939
2019,12,144479058,28261478
2019,20,144479059,28261479
2019,20,144479086,28261486
2019,20,144479109,28261489
2019,12,144479133,28261494
2019,10,144479161,28261499
2019,12,144479169,28261501
2019,12,144479170,28261500
2019,20,139651006,26354004
2019,20,139656419,26358899
2019,12,139656443,26354011
2019,10,139651089,26358909
2019,12,139651089,26354017
2019,12,139656469,26354019
2019,20,139661209,26349869
2019,9,139661248,26349875
2019,12,139661248,26349876
2019,12,139661520,26358992
2019,12,139656805,26349935
2019,12,139661684,26359023
2019,12,139657558,26350161
2019,11,139657562,26359227
2019,9,139657584,26354229
2019,12,139657879,26354283
2019,12,139667925,26350244
2019,12,139664092,26350399
2019,12,139664179,26359500
2019,12,139658890,26354451
2019,12,139669249,26350516
2019,12,139664676,26350529
2019,18,144479170,28261502
2019,12,139659464,26354583
2019,12,139669843,26354660
2019,18,139659842,26359723
2019,12,139659909,26354685
2019,4,139670030,26350665
2019,20,139660350,26354782
2019,12,139670389,26350725
2019,12,139671318,26350790
2019,2,139670849,26350821
2019,12,139671564,26359999
2019,12,139660938,26350844
2019,12,139660964,26350847
2019,12,139676270,26350910
2019,19,139661087,26354948
2019,12,139676451,26350947
2019,18,139681334,26354988
2019,18,139676711,26351003
2019,19,139672833,26360251
2019,20,139673415,26360366
2019,12,139682614,26355264
2019,9,139673665,26360424
2019,12,139678146,26351280
2019,18,139678791,26351404
2019,12,139675460,26360833
2019,12,139675560,26355533
2019,12,139680004,26351622
2019,12,139680003,26360933
2019,20,139680348,26361002
2019,12,144479174,28261503
2019,12,139688944,26355919
2019,20,139688961,26362062
2019,12,139692692,26362066
2019,20,139692699,26362068
2019,20,139689006,26361475
2019,12,139692728,26362072
2019,9,139692727,26362071
2019,20,139692734,26355931
2019,12,139692812,26362086
2019,6,139693862,26362278
2019,12,139690173,26362279
2019,2,139693912,26362288
2019,12,139693987,26362301
2019,20,139690280,26362300
2019,12,139694105,26356154
2019,2,139694166,26361713
2019,12,139694706,26366833
2019,12,139694831,26362463
2019,20,139698080,26356239
2019,9,139701178,26366861
2019,12,139701744,26362578
2019,12,139695624,26362610
2019,12,139698764,26356379
2019,12,139702026,26367037
2019,3,139695802,26367044
2019,2,139695875,26356425
2019,19,139702205,26356448
2019,9,139702236,26362663
2019,9,139699298,26356491
2019,9,139702327,26367116
2019,18,139696081,26356490
2019,12,139656893,26354094
2019,3,139666450,26349959
2019,18,139656903,26354097
2019,12,139656950,26354113
2019,12,139666747,26350019
2019,12,139662073,26354146
2019,12,139666876,26350047
2019,18,139657125,26359120
2019,12,139662116,26354150
2019,12,139657166,26359131
2019,9,139667025,26354171
2019,12,139662426,26354186
2019,12,139662458,26354194
2019,12,139662473,26359182
2019,12,139667475,26350164
2019,12,139662994,26359273
2019,12,139667848,26350226
2019,22,139658055,26354314
2019,12,139664040,26350383
2019,2,139664189,26359504
2019,12,139668866,26350441
2019,2,139668924,26354468
2019,2,139664340,26359528
2019,12,139669139,26350490
2019,12,139659296,26350523
2019,9,139659744,26359701
2019,18,139659779,26354647
2019,12,139659825,26354664
2019,12,139665225,26359724
2019,12,139669926,26350642
2019,12,139660013,26354708
2019,12,139665868,26359856
2019,12,139660426,26354799
2019,12,139670390,26354804
2019,12,139660437,26354805
2019,12,139660490,26354826
2019,2,139660499,26354829
2019,12,139670668,26350788
2019,19,139671344,26359952
2019,10,139671423,26354891
2019,12,139670954,26360014
2019,18,139671683,26360021
2019,12,139671133,26360044
2019,12,139671771,26350876
2019,18,139661077,26350912
2019,9,139671917,26350918
2019,12,139681358,26350976
2019,12,139681594,26355054
2019,12,139677147,26351074
2019,12,139672849,26360257
2019,12,139677598,26355214
2019,20,139677651,26351180
2019,12,139673621,26360419
2019,20,139678227,26360488
2019,12,139678235,26351304
2019,12,139679122,26351461
2019,12,139675315,26360797
2019,12,139683889,26360810
2019,12,139679719,26351569
2019,12,139675865,26351581
2019,12,139676005,26360922
2019,12,139686854,26361101
2019,3,139680876,26361772
2019,12,139691648,26361880
2019,12,139691720,26361243
2019,12,139692056,26361951
2019,12,139688222,26361956
2019,12,139692202,26361978
2019,12,139688405,26361374
