"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,108905023,1,
2017,109003152,6,
2017,108881120,1,
2017,108836256,1,
2017,108903248,9,
2017,108855454,1,
2017,108854026,1,
2017,108882082,1,
2017,108903390,2,
2017,108904973,1,
2017,109001944,1,
2017,109001940,2,
2017,109002510,1,
2017,109003189,1,
2017,109021032,1,
2017,109210284,1,
2017,109210285,1,
2017,109205632,9,
2017,109215215,9,
2017,108883764,6,
2017,109210356,1,
2017,109205805,6,
2017,108852810,6,
2017,109000730,1,
2017,109005066,9,
2017,109004585,9,
2017,108854570,1,
2017,108854565,1,
2017,109002709,1,
2017,109003245,1,
2017,109004027,1,
2017,109011020,9,
2017,108849203,1,
2017,108852932,6,
2017,108853535,1,
2017,108853954,6,
2017,109002274,6,
2017,109001830,1,
2017,109002195,1,
2017,109003950,9,
2017,109008375,9,
2017,108836838,1,
2017,108847656,1,
2017,108848431,1,
2017,109004686,1,
2017,109011588,1,
2017,108855042,1,
2017,108836685,6,
2017,109000798,9,
2017,108852849,1,
2017,109001709,1,
2017,109004856,1,
2017,109008544,1,
2017,109009224,1,
2017,109011623,8,
2017,108823923,9,
2017,108836251,1,
2017,108854008,1,
2017,109001306,1,
2017,109001383,9,
2017,108848046,1,
2017,108881724,1,
2017,108881851,1,
2017,108882069,1,
2017,108882194,1,
2017,109001850,9,
2017,109003074,1,
2017,109003474,1,
2017,109003951,6,
2017,109004077,6,
2017,109024541,6,
2017,109024542,6,
2017,108881159,9,
2017,108825044,1,
2017,108880261,9,
2017,108880798,1,
2017,109001874,1,
2017,109002261,1,
2017,109002266,1,
2017,109002813,1,
2017,109004075,8,
2017,108837076,1,
2017,108837698,1,
2017,109003836,9,
2017,109003832,9,
2017,108835742,1,
2017,108836621,1,
2017,108836767,1,
2017,108837621,1,
2017,108838075,1,
2017,108904478,1,
2017,108904479,1,
2017,109002555,9,
2017,109002557,9,
2017,109021016,1,
2017,108903554,1,
2017,108903603,9,
2017,109002254,1,
2017,109002258,1,
2017,108903735,1,
2017,109002577,2,
2017,108904293,9,
2017,109003043,1,
2017,108853841,1,
2017,108853883,1,
2017,109000755,1,
2017,109004913,1,
2017,108835655,1,
2017,108835751,9,
2017,108836761,1,
2017,109001856,1,
2017,109001855,1,
2017,108837684,9,
2017,108837681,9,
2017,108881211,10,
2017,109004164,6,
2017,109016069,1,
2017,108881103,1,
2017,109022036,1,
2017,96544316,6,
2017,96544348,1,
2017,97705471,10,
2017,98465459,1,
2017,98465971,1,
2017,109210473,9,
2017,109205821,1,
2017,109214990,1,
2017,109205614,1,
2017,109210396,1,
2017,109378661,1,
2017,109215185,4,
2017,109215183,4,
2017,109205817,2,
2017,109205565,1,
2017,109383204,1,
2017,109383339,1,
2017,109378778,1,
2017,109210296,1,
2017,109210336,1,
2017,109205641,1,
2017,109205689,6,
2017,109215170,9,
2017,109210442,2,
2017,109205767,9,
2017,109374608,1,
2017,109215004,1,
2017,109215104,1,
2017,109205647,6,
2017,109205721,1,
2017,109210287,1,
2017,109215050,9,
2017,109205701,1,
2017,109205729,1,
2017,109210295,9,
2017,109210394,6,
2017,109210443,2,
2017,109205778,1,
2017,109215320,1,
2017,109205639,1,
2017,109210398,1,
2017,109205636,6,
2017,108836020,1,
2017,108853025,6,
2017,108854931,1,
2017,109007741,1,
2017,108853930,6,
2017,108854900,9,
2017,108854898,1,
2017,108854000,9,
2017,108823497,1,
2017,108823699,1,
2017,109005118,1,
2017,109001694,9,
2017,109005116,1,
2017,109005122,1,
2017,109008150,1,
2017,109011636,1,
2017,109214993,9,
2017,109205810,6,
2017,109214983,1,
2017,109214982,1,
2017,109210300,1,
2017,109210330,1,
2017,109205586,1,
2017,109215021,1,
2017,109215049,1,
2017,109210359,1,
2017,109210391,1,
2017,108855269,9,
2017,108848554,10,
2017,108855367,9,
2017,108855365,9,
2017,109000753,2,
2017,109008047,1,
2017,108853167,9,
2017,109000957,2,
2017,108883698,9,
2017,108835630,9,
2017,108836699,1,
2017,108836733,1,
2017,108854562,6,
2017,108855143,6,
2017,108835623,1,
2017,108835629,1,
2017,108824174,1,
2017,108836003,1,
2017,108837647,8,
2017,108848140,1,
2017,109002607,2,
2017,109002611,2,
2017,108903130,2,
2017,108903592,2,
2017,108904049,1,
2017,108904074,1,
2017,108904105,6,
2017,108904110,1,
2017,109001867,6,
2017,109002628,9,
2017,109005285,1,
2017,108881558,9,
2017,108848669,10,
2017,108849197,1,
2017,108880482,1,
2017,109001849,9,
2017,109002796,1,
2017,98273118,1,
2017,98283364,1,
2017,97705352,1,
2017,98281316,9,
2017,98254225,1,
2017,98280899,1,
2017,98282717,1,
2017,97705456,1,
2017,97707198,1,
2017,98465964,1,
2017,98267303,9,
2017,98267859,1,
2017,98274580,2,
2017,98277668,6,
2017,98254172,1,
2017,98267873,6,
2017,98282473,9,
2017,98282475,9,
2017,98267253,1,
2017,98268394,9,
2017,97706832,1,
2017,97706821,1,
2017,98268072,1,
2017,98268508,6,
2017,98268508,9,
2017,98274410,17,
2017,98267953,1,
2017,98274506,6,
2017,98283378,1,
2017,98282384,6,
2017,97705524,9,
2017,97706207,1,
2017,97706212,1,
2017,98267958,9,
2017,98465994,2,
2017,98272600,1,
2017,98279956,6,
2017,98282439,1,
2017,98283345,6,
2017,97705878,2,
2017,98256239,6,
2017,98267862,9,
2017,98272967,1,
2017,98274621,1,
2017,97705765,1,
2017,97707200,1,
2017,98465940,1,
2017,98277657,1,
2017,98267466,1,
2017,97705577,1,
2017,97706557,2,
2017,97063805,10,
2017,97064120,1,
2017,97065436,1,
2017,98465187,1,
2017,97064446,1,
2017,96544411,1,
2017,96544494,1,
2017,96544554,1,
2017,96544593,1,
2017,97064379,1,
2017,97064861,1,
2017,97065248,1,
2017,97065567,9,
2017,96544772,1,
2017,96544771,1,
2017,98465155,1,
2017,98252602,8,
2017,98268148,9,
2017,98281156,1,
2017,97706313,1,
2017,98282537,9,
2017,98276589,6,
2017,98252599,1,
2017,98272559,1,
2017,109000898,2,
2017,109000896,1,
2017,109001137,1,
2017,109001138,1,
2017,109004534,1,
2017,109005837,1,
2017,109007267,1,
2017,109007694,1,
2017,109008712,1,
2017,108903566,1,
2017,108904103,6,
2017,108904281,1,
2017,108905693,1,
2017,108855389,1,
2017,109001174,1,
2017,109001284,1,
2017,109001285,1,
2017,109001282,1,
2017,109005075,10,
2017,109015512,1,
2017,108848315,2,
2017,108848312,1,
2017,108848597,1,
2017,108854630,1,
2017,108854628,1,
2017,108880432,1,
2017,108881747,1,
2017,108903380,1,
2017,109003286,1,
2017,109020968,3,
2017,109020969,3,
2017,108855085,2,
2017,108852835,1,
2017,108848201,1,
2017,108883295,1,
2017,108904223,1,
2017,108904253,6,
2017,108904977,1,
2017,108905033,1,
2017,109002125,1,
2017,109002541,1,
2017,109002606,6,
2017,109001831,2,
2017,108835620,1,
2017,109004207,9,
2017,109003425,1,
2017,108835752,1,
2017,109001093,1,
2017,109001915,1,
2017,109002214,1,
2017,109002477,6,
2017,109002872,6,
2017,109003099,1,
2017,108880387,1,
2017,108880385,1,
2017,109003635,1,
2017,108824152,1,
2017,108835855,1,
2017,108903052,1,
2017,108882567,1,
2017,108882567,6,
2017,108903141,6,
2017,108903604,2,
2017,108904486,6,
2017,108904922,1,
2017,109002192,1,
2017,109004232,1,
2017,108836258,1,
2017,109001841,2,
2017,108836935,2,
2017,108836916,2,
2017,108883300,1,
2017,109002180,1,
2017,109002247,1,
2017,111560958,1,
2017,96544301,1,
2017,98465886,9,
2017,98465978,6,
2017,96544266,9,
2017,97065496,9,
2017,96544612,1,
2017,97065361,6,
2017,97065521,1,
2017,97064063,1,
2017,96544258,1,
2017,97065384,6,
2017,97065391,9,
2017,97063835,1,
2017,97064118,1,
2017,97064904,9,
2017,97064890,9,
2017,97065239,1,
2017,97065501,1,
2017,97065527,9,
2017,96544540,9,
2017,96544543,10,
2017,98465009,2,
2017,98465074,2,
2017,98465948,1,
2017,98254268,1,
2017,96544293,1,
2017,108824147,1,
2017,109011585,1,
2017,109210293,1,
2017,109215010,1,
2017,109215031,1,
2017,109205640,1,
2017,109215141,1,
2017,109210305,1,
2017,109210446,1,
2017,108848864,1,
2017,109004857,1,
2017,108853817,6,
2017,109007666,10,
2017,109007722,1,
2017,109010224,9,
2017,109011622,6,
2017,108824928,1,
2017,108854477,1,
2017,108847874,1,
2017,108852860,1,
2017,108853156,1,
2017,109004996,1,
2017,108854748,1,
2017,108854742,1,
2017,109001281,1,
2017,109004516,1,
2017,109004512,1,
2017,109005257,1,
2017,109006086,9,
2017,108847407,1,
2017,108853829,1,
2017,109001984,9,
2017,109003883,1,
2017,109003891,1,
2017,109010419,2,
2017,109010478,3,
2017,109010508,1,
2017,109010507,1,
2017,109010816,3,
2017,109005420,1,
2017,109005522,9,
2017,109008343,2,
2017,109010819,1,
2017,109010820,8,
2017,109010820,1,
2017,109010819,8,
2017,109011596,8,
2017,109011941,1,
2017,108836018,1,
2017,108836145,1,
2017,108855122,1,
2017,108847839,1,
2017,108855120,1,
2017,108855124,1,
2017,108849188,1,
2017,109000503,6,
2017,109000697,2,
2017,109001079,1,
2017,109001216,1,
2017,109005258,1,
2017,108847870,6,
2017,108848030,1,
2017,108853178,1,
2017,108855127,2,
2017,109015448,2,
2017,109000728,1,
2017,109005102,1,
2017,108847549,1,
2017,108848370,1,
2017,108852925,1,
2017,108853860,1,
2017,111556767,1,
2017,108824237,1,
2017,108836040,1,
2017,108838081,1,
2017,108853165,1,
2017,108853175,1,
2017,108853172,1,
2017,108853174,1,
2017,108853169,1,
2017,108853534,1,
2017,108853564,1,
2017,109001299,1,
2017,109001577,1,
2017,109006710,6,
2017,109004596,1,
2017,109005271,1,
2017,109005585,3,
2017,109005586,3,
2017,109007749,1,
2017,109007748,1,
2017,108824609,9,
2017,108824605,9,
2017,108837771,6,
2017,108848833,6,
2017,108855005,1,
2017,109000752,9,
2017,109015421,1,
2017,109000799,1,
2017,108824454,6,
2017,108903043,1,
2017,108904102,6,
2017,108904643,1,
2017,109002100,6,
2017,109002187,1,
2017,109002348,1,
2017,108880102,1,
2017,108847861,6,
2017,108848852,1,
2017,108903395,1,
2017,109002303,1,
2017,108903544,9,
2017,108903542,9,
2017,108905236,1,
2017,109002329,1,
2017,108848482,9,
2017,108881147,1,
2017,108881819,1,
2017,108882642,1,
2017,109001920,9,
2017,109002608,1,
