"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,3,132311552
2019,9,132308100
2019,9,132308196
2019,9,132316801
2019,6,132308572
2019,9,132317115
2019,6,132308785
2019,6,132308804
2019,6,132308803
2019,9,132309201
2019,9,132309245
2019,9,132312541
2019,9,132312545
2019,9,132312554
2019,9,132309340
2019,3,132310119
2019,6,132310140
2019,9,132313320
2019,9,138479582
2019,9,138473997
2019,9,138474005
2019,6,138474140
2019,9,138460771
2019,6,132318557
2019,6,132310609
2019,9,132310713
2019,6,132307736
2019,9,132311609
2019,9,132307835
2019,3,132311652
2019,9,132316805
2019,6,132316818
2019,6,132311958
2019,8,132311958
2019,9,132316994
2019,9,132317022
2019,9,132317033
2019,6,132308783
2019,6,132317170
2019,9,132317496
2019,9,132312438
2019,9,132317611
2019,9,132317617
2019,6,132309953
2019,6,132309951
2019,6,132318211
2019,6,138473972
2019,9,138479702
2019,6,138474427
2019,9,138480047
2019,6,138461101
2019,9,138474552
2019,9,138480171
2019,9,138481154
2019,9,138480189
2019,9,138480198
2019,9,138480207
2019,9,138474618
2019,6,138474632
2019,9,138480253
2019,9,138474659
2019,9,138480270
2019,9,138480614
2019,9,138480700
2019,6,138475209
2019,9,138475227
2019,9,138480904
2019,6,138475251
2019,9,138475254
2019,9,138480913
2019,9,138475287
2019,9,138480958
2019,6,138475294
2019,9,138481725
2019,6,138475336
2019,9,138480998
2019,6,138481755
2019,9,138475364
2019,9,138481790
2019,2,138481803
2019,9,138481130
2019,9,138475471
2019,9,138481132
2019,6,138481860
2019,9,138486162
2019,6,138481923
2019,9,138481926
2019,9,138486174
2019,6,138486196
2019,6,138486201
2019,9,138475581
2019,6,138482003
2019,9,138475599
2019,9,138486276
2019,6,138486298
2019,9,138482043
2019,9,138482072
2019,6,138486351
2019,6,138482083
2019,2,138486360
2019,3,138486360
2019,7,138486365
2019,9,138475671
2019,6,138475670
2019,9,138475687
2019,6,138486415
2019,6,138486430
2019,9,138482131
2019,6,138482133
2019,9,138475721
2019,9,138475727
2019,8,138482161
2019,1,138475753
2019,9,138486496
2019,9,138486503
2019,9,138475776
2019,6,138482208
2019,9,138482233
2019,9,138486548
2019,9,138475800
2019,9,138475801
2019,8,138475802
2019,6,138482262
2019,6,138486567
2019,6,138482268
2019,9,138486578
2019,6,132316291
2019,9,132307607
2019,9,132316504
2019,9,132316512
2019,6,132316789
2019,9,132308202
2019,9,132312105
2019,9,132308587
2019,9,132317520
2019,9,132317659
2019,1,132310050
2019,9,132316415
2019,6,132316437
2019,6,132308292
2019,6,132312099
2019,9,132312107
2019,9,132312298
2019,9,132308965
2019,9,132309130
2019,6,132309166
2019,9,132317522
2019,9,132312560
2019,6,132318054
2019,6,132318055
2019,6,132318619
2019,9,132318554
2019,9,132310614
2019,9,132313306
2019,8,132310679
2019,6,132318675
2019,9,142152009
2019,9,142152018
2019,6,142152019
2019,9,142152085
2019,9,142152086
2019,9,142152120
2019,9,138479730
2019,9,138460712
2019,9,138460725
2019,9,138479766
2019,6,138474183
2019,6,138474206
2019,9,138474260
2019,9,138460824
2019,1,138479992
2019,9,138480315
2019,9,138474767
2019,9,138480371
2019,6,142152136
2019,9,138480405
2019,9,138480433
2019,9,138480483
2019,6,138480513
2019,9,138481434
2019,6,138480556
2019,9,138481461
2019,9,138481462
2019,9,138481480
2019,9,138480611
2019,9,138480628
2019,6,138475020
2019,8,142152218
2019,6,142152218
2019,6,138481571
2019,9,138480756
2019,9,138481602
2019,6,138481603
2019,6,138480844
2019,9,138475182
2019,9,138475211
2019,6,142152261
2019,6,138475271
2019,6,138475272
2019,9,138480932
2019,1,138481718
2019,9,138475393
2019,9,142152282
2019,9,138481939
2019,9,138475573
2019,9,138486277
2019,9,138486356
2019,9,138482200
2019,1,138482303
2019,9,138482320
2019,9,138475916
2019,6,138486705
2019,9,138482370
2019,9,138491161
2019,9,138487030
2019,6,138482697
2019,9,138482720
2019,9,138487269
2019,6,138482934
2019,6,138487316
2019,6,138483000
2019,9,138483035
2019,6,138491445
2019,7,138491445
2019,8,138491445
2019,9,138483113
2019,9,138487508
2019,9,138491612
2019,6,138487571
2019,9,138487668
2019,6,138483522
2019,9,138483536
2019,9,138483557
2019,6,138483637
2019,9,138487866
2019,6,138483671
2019,8,138483676
2019,9,138491966
2019,9,138483719
2019,9,142152309
2019,6,142152343
2019,2,142152370
2019,6,142152422
2019,6,142152463
2019,9,142152707
2019,6,142152764
2019,6,142152775
2019,3,142152784
2019,9,142152853
2019,9,142146757
2019,9,142153056
2019,9,142153184
2019,8,142153200
2019,6,142153213
2019,9,142153258
2019,9,142153260
2019,6,142153291
2019,9,142153389
2019,9,142153482
2019,9,142153489
2019,9,142153551
2019,9,142153570
2019,9,142153579
2019,9,142153598
2019,9,142153603
2019,6,142153604
2019,9,142153634
2019,6,142153646
2019,6,142153648
2019,6,142153686
