"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
174542017,17454,2017,"SC0020100","SC0020100","","N","N",,"I","AIKEN","AIKEN PD","Aiken","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",31158,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",63,12,75,17,19,36,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174562017,17456,2017,"SC0020300","SC0020300","","N","N",,"I","NORTH AUGUSTA","NORTH AUGUSTA PD","North Augusta","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",23198,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",62,11,73,2,14,16,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","EDGEFIELD; AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174572017,17457,2017,"SC0020400","SC0020400","","N","N",,"I","BURNETTOWN","BURNETTOWN PD","Burnettown","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",2819,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174582017,17458,2017,"SC0020500","SC0020500","","N","N",,"I","JACKSON","JACKSON PD","Jackson","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",1794,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174592017,17459,2017,"SC0020600","SC0020600","","N","N",,"I","NEW ELLENTON","NEW ELLENTON PD","New Ellenton","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",2160,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,1,0,1,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174602017,17460,2017,"SC0020700","SC0020700","","N","N",,"I","SALLEY","SALLEY PD","Salley","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",424,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JAN-90,01-NOV-92,01-APR-07,01-MAY-11,,01-APR-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174612017,17461,2017,"SC0020800","SC0020800","","N","N",,"I","WAGENER","WAGENER PD","Wagener","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",834,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174632017,17463,2017,"SC0021000","SC0021000","","N","N",,"I","US DOE, SAVANNAH RIVER P","SAFEGUARDS & SEC DIV DOE SAV RIVER OPER AIKEN","United States Department of Energy Savannah River Plant","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",38,6,44,2,6,8,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174652017,17465,2017,"SC0021400","SC0021400","","N","N",,"I","PERRY","PERRY POLICE DEPARTMENT PERRY","Perry","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",240,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-94,01-MAR-13,01-MAR-13,,,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174662017,17466,2017,"SC0021500","SC0021500","","N","N",,"I","UNIV OF SC: AIKEN","PUBLIC SAFETY DEPT UNIV OF SOUTH CAROLINA AIKEN","University of South Carolina:","Aiken","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","University or College",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
