"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2016,21,110442610
2016,21,110442672
2016,21,110442948
2016,21,110443056
2016,21,110443126
2016,21,110443285
2016,21,110443502
2016,21,110443503
2016,21,110443553
2016,21,110452167
2016,21,110452217
2016,21,110452226
2016,21,110452254
2016,21,110452303
2016,21,110452369
2016,21,110452437
2016,21,110452850
2016,21,110452871
2016,21,110452911
2016,21,110452932
2016,21,110452981
2016,21,110453018
2016,21,111576087
2016,21,111576113
2016,21,111576265
2016,21,111576581
2016,21,111576582
2016,21,111576671
2016,21,111576721
2016,21,111576723
2016,21,111576718
2016,21,111576722
2016,21,111576774
2016,21,111576943
2016,21,111576981
2016,21,111577035
2016,21,111577082
2016,21,111577089
2016,21,111577088
2016,21,111577145
2016,21,111577183
2016,21,109996085
2016,21,109996139
2016,21,109982926
2016,21,109984347
2016,21,109984376
2016,21,109984843
2016,21,109984839
2016,21,109985246
2016,21,109986005
2016,21,109986544
2016,21,109987750
2016,21,109987766
2016,21,109988001
2016,21,109988362
2016,21,109988950
2016,21,109989475
2016,21,109989554
2016,21,109989511
2016,21,109993237
2016,21,109993298
2016,21,109993321
2016,21,109993371
2016,21,109993378
2016,21,109960654
2016,21,109960694
2016,21,109960725
2016,21,109960752
2016,21,109960861
2016,21,109960876
2016,21,109960951
2016,21,109961056
2016,21,109961954
2016,21,109962182
2016,21,109962213
2016,21,109962226
2016,21,109962277
2016,21,109962319
2016,21,109962330
2016,21,109962495
2016,21,109962703
2016,21,109962727
2016,21,109962745
2016,21,109962786
2016,21,109962801
2016,21,109963094
2016,21,109963122
2016,21,109963249
2016,21,109963310
2016,21,109963413
2016,21,109963623
2016,21,109964809
2016,21,109964837
2016,21,109964891
2016,21,109965003
2016,21,109965115
2016,21,109965129
2016,21,109965236
2016,21,109965382
2016,21,109965728
2016,21,109965558
2016,21,109965919
2016,21,109965773
2016,21,109965808
2016,21,109993622
2016,21,109993816
2016,21,109993958
2016,21,109994274
2016,21,109994556
2016,21,109994776
2016,21,109994888
2016,21,109966447
2016,21,109966710
2016,21,109966746
2016,21,109966838
2016,21,109967016
2016,21,109967028
2016,21,109968197
2016,21,109969278
2016,21,109969280
2016,21,109969570
2016,21,109969667
2016,21,109969763
2016,21,109970151
2016,21,109970516
2016,21,109971594
2016,21,109971221
2016,21,109971280
2016,21,109971285
2016,21,109971337
2016,21,109971439
2016,21,109971927
2016,21,109971958
2016,21,109972066
2016,21,109972145
2016,21,109974111
2016,21,109973545
2016,21,109973646
2016,21,109973918
2016,21,109973916
2016,21,109974027
2016,21,109974382
2016,21,109975642
2016,21,109975285
2016,21,109974262
2016,21,109974264
2016,21,109974271
2016,21,109974318
2016,21,109974316
2016,21,109995131
2016,21,109995126
2016,21,109995157
2016,21,109995184
2016,21,109995181
2016,21,109995242
2016,21,109965966
2016,21,109966171
2016,21,109966100
2016,21,109966224
2016,21,109966266
2016,21,109966330
2016,21,109966417
2016,21,109966620
2016,21,109966711
2016,21,109967005
2016,21,109995402
2016,21,109967025
2016,21,109967038
2016,21,109969238
2016,21,109969244
2016,21,109969590
2016,21,109969597
2016,21,109970213
2016,21,109970387
2016,21,109970740
2016,21,109971085
2016,21,109971113
2016,21,109971417
2016,21,109971605
2016,21,109971602
2016,21,109971990
2016,21,109972781
2016,21,109972793
2016,21,109972905
2016,21,109975643
2016,21,109975917
2016,21,109977588
2016,21,109976385
2016,21,109976655
2016,21,109976692
2016,21,109976934
2016,21,109981112
2016,21,109981521
2016,21,109981874
2016,21,109982137
2016,21,109983521
