"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2016,21,106892323
2016,21,106892324
2016,21,106892325
2016,21,106892326
2016,21,106892327
2016,21,106892328
2016,21,106892329
2016,21,106892330
2016,21,106892331
2016,21,106892332
2016,21,106892333
2016,21,106892334
2016,21,106892335
2016,21,106892336
2016,21,106892337
2016,21,106892338
2016,21,106892339
2016,21,106892340
2016,21,106892341
2016,21,106892342
2016,21,106892343
2016,21,106892344
2016,21,106892345
2016,21,106892346
2016,21,106892347
2016,21,106875859
2016,21,106875860
2016,21,106875861
2016,21,106875862
2016,21,106875863
2016,21,106875864
2016,21,106875865
2016,21,106875866
2016,21,106875867
2016,21,106875868
2016,21,106875869
2016,21,106875870
2016,21,106875871
2016,21,106875872
2016,21,106875873
2016,21,106875874
2016,21,106875875
2016,21,106875877
2016,21,106875878
2016,21,106875879
2016,21,106875880
2016,21,106875881
2016,21,106875882
2016,21,106875883
2016,21,106875884
2016,21,106875885
2016,21,106875886
2016,21,106875887
2016,21,106875888
2016,21,106875889
2016,21,106875890
2016,21,106875891
2016,21,106875892
2016,21,106875893
2016,21,106875894
2016,21,106875895
2016,21,106875896
2016,21,106875897
2016,21,106875898
2016,21,106875899
2016,21,106875900
2016,21,106875901
2016,21,106875902
2016,21,106875903
2016,21,106875904
2016,21,106875905
2016,21,106875906
2016,21,106875907
2016,21,106875908
2016,21,106875909
2016,21,106875910
2016,21,106875911
2016,21,106875912
2016,21,106875913
2016,21,106875914
2016,21,106875915
2016,21,106875916
2016,21,106875917
2016,21,106875918
2016,21,106875919
2016,21,106875920
2016,21,106875921
2016,21,106875922
2016,21,106875923
2016,21,106875924
2016,21,106875925
2016,21,106875926
2016,21,106875927
2016,21,106876963
2016,21,106876964
2016,21,106876965
2016,21,106876966
2016,21,106876967
2016,21,106876968
2016,21,106876969
2016,21,106876970
2016,21,106876972
2016,21,106876973
2016,21,106876974
2016,21,106876975
2016,21,106876976
2016,21,106876977
2016,21,106876979
2016,21,106876980
2016,21,106876981
2016,21,106876984
2016,21,106876985
2016,21,106876986
2016,21,106876987
2016,21,106876989
2016,21,106876990
2016,21,106876991
2016,21,106876992
2016,21,106876993
2016,21,106876994
2016,21,106876995
2016,21,106876996
2016,21,106876997
2016,21,106876998
2016,21,106876999
2016,21,106877000
2016,21,106877001
2016,21,106877002
2016,21,106877003
2016,21,106877004
2016,21,106877005
2016,21,106877006
2016,21,106877007
2016,21,106877008
2016,21,106877009
2016,21,106877010
2016,21,106877011
2016,21,106877012
2016,21,106877013
2016,21,106877014
2016,21,106877015
2016,21,106877016
2016,21,106877017
2016,21,106877018
2016,21,106877019
2016,21,106877020
2016,21,106877021
2016,21,106877022
2016,21,106877023
2016,21,106877024
2016,21,106877025
2016,21,106877026
2016,21,106877027
2016,21,106877028
2016,21,106877029
2016,21,106877030
2016,21,106877031
2016,21,106878067
2016,21,106878068
2016,21,106878069
2016,21,106878070
2016,21,106878071
2016,21,106878072
2016,21,106878073
2016,21,106878074
2016,21,106878075
2016,21,106878076
2016,21,106878077
2016,21,106878079
2016,21,106878080
2016,21,106878081
2016,21,106878082
2016,21,106878083
2016,21,106878084
2016,21,106878085
2016,21,106878086
2016,21,106878087
2016,21,106878088
2016,21,106878089
2016,21,106878090
2016,21,106878091
2016,21,106878092
2016,21,106878093
2016,21,106878094
2016,21,106878095
2016,21,106878096
2016,21,106878097
2016,21,106878098
2016,21,106878099
2016,21,106878100
2016,21,106878101
2016,21,106878102
2016,21,106878103
2016,21,106878104
2016,21,106878105
